o,1stConj present indicative active 1stPerson singular
as,1stConj present indicative active 2ndPerson singular
at,1stConj present indicative active 3rdPerson singular
amus,1stConj present indicative active 1stPerson plural
atis,1stConj present indicative active 2ndPerson plural
ant,1stConj present indicative active 3rdPerson plural
abam,1stConj imperfect indicative active 1stPerson singular
abas,1stConj imperfect indicative active 2ndPerson singular
abat,1stConj imperfect indicative active 3rdPerson singular
abamus,1stConj imperfect indicative active 1stPerson plural
abatis,1stConj imperfect indicative active 2ndPerson plural
abant,1stConj imperfect indicative active 3rdPerson plural
abo,1stConj future indicative active 1stPerson singular
abis,1stConj future indicative active 2ndPerson singular
abit,1stConj future indicative active 3rdPerson singular
abimus,1stConj future indicative active 1stPerson plural
abitis,1stConj future indicative active 2ndPerson plural
abunt,1stConj future indicative active 3rdPerson plural
em,1stConj present subjunctive active 1stPerson singular
es,1stConj present subjunctive active 2ndPerson singular
et,1stConj present subjunctive active 3rdPerson singular
emus,1stConj present subjunctive active 1stPerson plural
etis,1stConj present subjunctive active 2ndPerson plural
ent,1stConj present subjunctive active 3rdPerson plural
arem,1stConj imperfect subjunctive active 1stPerson singular
ares,1stConj imperfect subjunctive active 1stPerson singular
aret,1stConj imperfect subjunctive active 1stPerson singular
aremus,1stConj imperfect subjunctive active 1stPerson singular
aretis,1stConj imperfect subjunctive active 1stPerson singular
arent,1stConj imperfect subjunctive active 1stPerson singular
eo,2ndConj present indicative active 1stPerson singular
es,2ndConj present indicative active 2ndPerson singular
et,2ndConj present indicative active 3rdPerson singular
emus,2ndConj present indicative active 1stPerson plural
etis,2ndConj present indicative active 2ndPerson plural
ent,2ndConj present indicative active 3rdPerson plural
ebam,2ndConj imperfect indicative active 1stPerson singular
ebas,2ndConj imperfect indicative active 2ndPerson singular
ebat,2ndConj imperfect indicative active 3rdPerson singular
ebamus,2ndConj imperfect indicative active 1stPerson plural
ebatis,2ndConj imperfect indicative active 2ndPerson plural
ebant,2ndConj imperfect indicative active 3rdPerson plural
ebo,2ndConj future indicative active 1stPerson singular
ebis,2ndConj future indicative active 2ndPerson singular
ebit,2ndConj future indicative active 3rdPerson singular
ebimus,2ndConj future indicative active 1stPerson plural
ebitis,2ndConj future indicative active 2ndPerson plural
