eo,present indicative active 1stPerson singular
es,present indicative active 2ndPerson singular
et,present indicative active 3rdPerson singular
emus,present indicative active 1stPerson plural
etis,present indicative active 2ndPerson plural
ent,present indicative active 3rdPerson plural
ebam,imperfect indicative active 1stPerson singular
ebas,imperfect indicative active 2ndPerson singular
ebat,imperfect indicative active 3rdPerson singular
ebamus,imperfect indicative active 1stPerson plural
ebatis,imperfect indicative active 2ndPerson plural
ebant,imperfect indicative active 3rdPerson plural
ebo,future indicative active 1stPerson singular
ebis,future indicative active 2ndPerson singular
ebit,future indicative active 3rdPerson singular
ebimus,future indicative active 1stPerson plural
ebitis,future indicative active 2ndPerson plural
ebunt,future indicative active 3rdPerson plural
eam,present subjunctive active 1stPerson singular
eas,present subjunctive active 2ndPerson singular
eat,present subjunctive active 3rdPerson singular
eamus,present subjunctive active 1stPerson plural
eatis,present subjunctive active 2ndPerson plural
eant,present subjunctive active 3rdPerson plural
erem,imperfect subjunctive active 1stPerson singular
eres,imperfect subjunctive active 1stPerson singular
eret,imperfect subjunctive active 1stPerson singular
eremus,imperfect subjunctive active 1stPerson singular
eretis,imperfect subjunctive active 1stPerson singular
erent,imperfect subjunctive active 1stPerson singular
