"second_conj_not_dep_presentStem"	"second_conj_not_dep___meaning"
"1"	"abarceo"	"keep away;"
"2"	"aberceo"	"keep away; forbid;"
"3"	"abhibeo"	"hold at a distance;"
"4"	"abhorreo"	"abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;"
"5"	"abnueo"	"refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"
"6"	"aboleo"	"destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"
"7"	"abscondeo"	"hide, conceal, secrete, \"shelter\"; leave behind; bury, engulf, swallow up; keep;"
"8"	"absorbeo"	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"9"	"absorbeo"	"devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"
"10"	"abstergeo"	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"11"	"absterreo"	"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
"12"	"abstineo"	"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
"13"	"accenseo"	"attach as an attendant to; add to;"
"14"	"acceo"	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"15"	"accieo"	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"16"	"aceo"	"be sour;"
"17"	"acueo"	"accentuate;"
"18"	"adaugeo"	"increase, augment, intensify; supplement, make more; exaggerate, magnify;"
"19"	"addecet"	"it is fitting/proper, it behooves;"
"20"	"addenseo"	"make more dense, close up (the ranks);"
"21"	"addoceo"	"teach new/additional accomplishments;"
"22"	"adfleo"	"weep/cry at; weep as an accompaniment;"
"23"	"adfulgeo"	"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
"24"	"adgaudeo"	"delight in; be delighted with;"
"25"	"adhaereo"	"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
"26"	"adhereo"	"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
"27"	"adhibeo"	"summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;"
"28"	"adhorreo"	"shudder (in addition);"
"29"	"adimpleo"	"fill up (with); fulfill, carry out (promise/obligation);"
"30"	"adjaceo"	"lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;"
"31"	"adluceo"	"shine upon; light (torch); show/give (opportunity/chance); give/supply light;"
"32"	"admisceo"	"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"33"	"admisceo"	"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"34"	"admoneo"	"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
"35"	"admordeo"	"bite at/into, gnaw; extract money from; fleece; get possession of their property"
"36"	"admoveo"	"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
"37"	"adoleo"	"emit/give out a smell/odor;"
"38"	"adoleo"	"worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;"
"39"	"adpareo"	"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
"40"	"adparet"	"it is apparent/evident/clear/certain/visible/noticeable/found; it appears;"
"41"	"adpendeo"	"to be pending;"
"42"	"adpertineo"	"belong to, appertain to; (w/DAT or ad);"
"43"	"adrideo"	"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
"44"	"adsideo"	"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
"45"	"adsoleo"	"be accustomed/in the habit of; be customary accompaniment, go with; be usual;"
"46"	"adsolet"	"it is usual/wont; it is the custom/practice; it is the habit;"
"47"	"adstrideo"	"hiss (at);"
"48"	"adstupeo"	"be stunned/astounded/astonished/amazed (at); be enthralled (by) (w/DAT);"
"49"	"adtineo"	"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
"50"	"adtondeo"	"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
"51"	"adtorqueo"	"whirl at; hurl upwards;"
"52"	"adurgeo"	"pursue; press hard, pursue closely;"
"53"	"aegreo"	"be sick/ill;"
"54"	"aequivaleo"	"have equal power, be equivalent;"
"55"	"affleo"	"weep/cry at; weep as an accompaniment;"
"56"	"affulgeo"	"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
"57"	"aggaudeo"	"delight in; be delighted with;"
"58"	"albeo"	"be/appear white/pale/light-colored/white with age;"
"59"	"algeo"	"be/feel/become cold/chilly/cool; endure cold; be neglected/left in the cold;"
"60"	"alluceo"	"shine upon; light (torch); show/give (opportunity/chance); give/supply light;"
"61"	"ammisceo"	"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"62"	"ammoneo"	"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
"63"	"ammordeo"	"bite at/into, gnaw; extract money from; fleece; get possession of his property;"
"64"	"ammoveo"	"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
"65"	"amoveo"	"move/take/put away, remove, steal; banish, cause to go away; withdraw, retire;"
"66"	"antehabeo"	"have previously; prefer;"
"67"	"antepolleo"	"be stronger/more powerful than; surpass physically, excel;"
"68"	"appareo"	"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
"69"	"apparet"	"it is apparent/evident/clear/certain/visible/noticeable/found; it appears;"
"70"	"appendeo"	"to be pending;"
"71"	"appertineo"	"belong to, appertain to; (w/DAT or ad);"
"72"	"apsorbeo"	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"73"	"apsorbeo"	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
