"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"1"	"abbibo"	"drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;"
"2"	"abbito"	"approach, come/draw near;"
"3"	"abdico"	"be against, reject; withhold (someone's right); forbid by unfavorable omen;"
"4"	"abdo"	"remove, put away, set aside; depart, go away; hide, keep secret, conceal;"
"5"	"abduco"	"lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;"
"6"	"abfluo"	"flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);"
"7"	"abfugio"	"flee (from), shun; run/fly away, escape; disappear/vanish (things);"
"8"	"abhorresco"	"dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;"
"9"	"abicio"	"throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"10"	"abico"	"humble; cast aside/away/off, reject;"
"11"	"abigo"	"drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"
"12"	"abigo"	"|remove/cure (disease); drive away (an evil); force birth; procure abortion;"
"13"	"abigo"	"drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"
"14"	"abigo"	"|remove/cure (disease); drive away (an evil); force birth; procure abortion;"
"15"	"abjicio"	"throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"16"	"abjungo"	"unyoke, remove, separate; unharness; remove part, split; cut off from, detach;"
"17"	"abludo"	"differ from; fall short of; play out of tune;"
"18"	"abluo"	"wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;"
"19"	"abnuo"	"refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"
"20"	"abolefacio"	"destroy;"
"21"	"abolesco"	"decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;"
"22"	"aborisco"	"pass/fade away, disappear, be lost;"
"23"	"abrado"	"scratch/scrape/rub/wipe (off), shave; erase; wash/erode away; \"knock off\", rob;"
"24"	"abripio"	"drag/snatch/carry/remove away by force; wash/blow away (storm); abduct, kidnap;"
"25"	"abrodo"	"gnaw off/away;"
"26"	"abrumpo"	"break (bonds); break off; tear asunder; cut through, sever; remove, separate;"
"27"	"abscedo"	"withdraw, depart, retire; go/pass off/away; desist; recede (coasts); slough;"
"28"	"abscido"	"hew/cut off/away/out; fell/cut down; remove, separate/cut off/destroy, divide;"
"29"	"abscido"	"|take away violently; expel/banish; destroy (hope); amputate; prune; cut short;"
"30"	"abscindo"	"tear (away/off) (clothing); cut off/away/short; part, break, divide, separate;"
"31"	"abscondo"	"hide, conceal, secrete, \"shelter\"; leave behind; bury, engulf, swallow up; keep;"
"32"	"abscondo"	"hide, conceal, secrete, \"shelter\"; leave behind; bury, engulf, swallow up; keep;"
"33"	"absisto"	"withdraw from; desist, cease; leave off; depart, go away from; stand back;"
"34"	"absolvo"	"free (bonds), release; acquit; vote for/secure acquittal; pay off; sum up;"
"35"	"abstergo"	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"36"	"abstraho"	"drag away from, remove forcibly, abort; carry off to execution; split;"
"37"	"abstrudo"	"thrust away, conceal, hide; suppress/prevent (emotion) becoming apparent;"
"38"	"abstulo"	"to take away, withdraw;"
"39"	"absumo"	"spend, waste, squander, use up; take up (time); consume; exhaust, wear out;"
"40"	"abverto"	"turn away from/aside, divert, rout; disturb; withdraw; steal, misappropriate;"
"41"	"accano"	"sing to/with;"
"42"	"accanto"	"sing to (person); sing at (place);"
"43"	"accedo"	"come near, approach; agree with; be added to (w/ad or in + ACC); constitute;"
"44"	"accendo"	"kindle, set on fire, light; illuminate; inflame, stir up, arouse; make bright;"
"45"	"accento"	"sing to (person); sing at (place);"
"46"	"accerso"	"send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"47"	"accerso"	"send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"48"	"accido"	"fall upon/down/to/at or near, descend, alight; happen, occur; happen to (DAT);"
"49"	"accido"	"cut, cut into/down/up, hack, hew, fell; overthrow, destroy; cut short; weaken;"
"50"	"accidt"	"happens, turns out, befalls; fall upon; come to pass, occur;"
"51"	"accingo"	"gird on or about, surround; equip, provide (with); get ready, prepare (for);"
"52"	"accino"	"sing to/with;"
"53"	"accipio"	"take, grasp, receive, accept, undertake; admit, let in, hear, learn; obey;"
"54"	"accludo"	"close up, shut the door;"
"55"	"accognosco"	"recognize (visually or by some other means);"
"56"	"accolo"	"dwell/live near; be a neighbor to;"
"57"	"accredo"	"give credence to, believe; put faith in, trust;"
"58"	"accresco"	"increase/swell, grow larger/up/progressively; be added/annexed to; arise;"
"59"	"accudo"	"coin in addition; strike/stamp/mint (coin) (L+S); make more money, add wealth;"
"60"	"accumbo"	"take a place/recline at the table; lie on (bed), lie at/prone, lie beside;"
"61"	"accurro"	"run/hasten to (help); come/rush up (inanim subj.); charge, rush to attack;"
"62"	"accurro"	"run/hasten to (help); come/rush up (inanim subj.); charge, rush to attack;"
"63"	"acesco"	"turn/become sour;"
"64"	"acquiesco"	"lie with (w/cum), rest/relax; repose (death); acquiesce/assent/submit; subside;"
"65"	"acquiesco"	"lie with (w/cum), rest/relax; repose (death); acquiesce/assent/submit; subside;"
"66"	"acquiro"	"acquire (goods/money/adherents), obtain, gain, get; add to stock; accrue;"
"67"	"acuo"	"whet, sharpen, cut to a point; spur on, provoke, incite; come to a head (PASS);"
"68"	"adaperio"	"throw open, open wide; unroll (scroll), open (book); uncover, reveal; open up;"
"69"	"adaresco"	"become dry; dry up;"
"70"	"adaugesco"	"become greater/more numerous, increase;"
"71"	"adbibo"	"drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;"
"72"	"adbito"	"approach, come/draw near;"
"73"	"adcedo"	"come near, approach; agree with; be added to (w/ad or in + ACC); constitute;"
"74"	"adcludo"	"close up, shut the door;"
"75"	"adcognosco"	"recognize (visually or by some other means);"
"76"	"adcolo"	"dwell/live near; be a neighbor to;"
"77"	"adcredo"	"give credence to, believe; put faith in, trust;"
"78"	"adcresco"	"increase/swell, grow larger/up/progressively; be added/annexed to; arise;"
"79"	"adcudo"	"coin in addition; strike/stamp/mint (coin) (L+S); make more money, add wealth;"
"80"	"adcumbo"	"take a place/recline at the table; lie on (bed), lie at/prone, lie beside;"
"81"	"adcurro"	"run/hasten to (help); come/rush up (inanim subj.); charge, rush to attack;"
"82"	"adcurro"	"run/hasten to (help); come/rush up (inanim subj.); charge, rush to attack;"
"83"	"addico"	"be propitious; adjudge, sentence, doom; confiscate; award, assign; enslave;"
"84"	"addisco"	"learn in addition/further/besides; learn;"
"85"	"addo"	"add, insert, bring/attach to, say in addition; increase; impart; associate;"
"86"	"addormisco"	"fall asleep;"
"87"	"adduco"	"lead up/to/away; bring up/to; persuade, induce; lead, bring; contract, tighten;"
"88"	"adedo"	"eat up, eat into/away at, nibble, squander; wear down, exhaust; erode;"
"89"	"adficio"	"affect, make impression; move, influence; cause (hurt/death), afflict, weaken;"
"90"	"adfigo"	"fasten/fix/pin/attach to (w/DAT), annex; impress upon; pierce; chain, confine;"
"91"	"adfingo"	"add to, attach; aggravate; embellish, counterfeit, forge; claim wrongly;"
"92"	"adfligo"	"overthrow/throw down; afflict, damage, crush, break, ruin; humble, weaken, vex;"
"93"	"adfluo"	"flow on/to/towards/by; glide/drift quietly; flock together, throng; abound;"
"94"	"adfodio"	"add by digging;"
"95"	"adfrango"	"cause to be broken against, crush/strike/break against; break in pieces;"
"96"	"adfremo"	"roar/rage/growl (at); assent noisily to (w/DAT);"
"97"	"adfringo"	"cause to be broken against, crush/strike/break against; break in pieces;"
"98"	"adfundo"	"pour on/upon/into, heap up; shed/spill (blood); wash;"
"99"	"adfuo"	"flow/stream/issue (from), flow away; abound in (w/ABL), be abundant, abound;"
"100"	"adgemo"	"groan in conjunction/sympathy (with);"
"101"	"adgero"	"heap/cover up over, pile/build up, erect; accumulate; intensify, exaggerate;"
"102"	"adgnosco"	"recognize, realize, discern; acknowledge, claim, admit to/responsibility;"
"103"	"adgravesco"	"become heavy; become severe/dangerous (illness), grow worse; be aggravated;"
"104"	"adgredio"	"approach, advance; attack, assail; undertake, seize (opportunity), attempt;"
"105"	"adhaeresco"	"cling to, adhere, stick (in trouble); become lodged in (weapons); run aground;"
"106"	"adheresco"	"adhere tightly, stick fast;"
"107"	"adicio"	"add, increase, raise; add to (DAT/ad+ACC); suggest; hurl (weapon); throw to/at;"
"108"	"adigo"	"drive in/to (cattle), force, impel; cast, hurl; consign (curse); bind (oath);"
"109"	"adimo"	"withdraw, take away, carry off; castrate; deprive, steal, seize; annul; rescue;"
"110"	"adincresco"	"increase;"
"111"	"adindo"	"insert, put in/to; put in besides;"
"112"	"adingero"	"bring to/heap on in addition;"
"113"	"adinquiro"	"investigate/inquire/look into further;"
"114"	"adjicio"	"add, increase, raise; add to (DAT/ad+ACC); suggest; hurl (weapon); throw to/at;"
"115"	"adjicio"	"add, increase, raise; add to (DAT/ad+ACC); suggest; hurl (weapon); throw to/at;"
"116"	"adjungo"	"add, attach, join to, add to, support; apply to; harness, yoke; direct; confer;"
"117"	"adlambo"	"lick (of flames);"
"118"	"adlego"	"choose, admit, elect, recruit, select, appoint;"
"119"	"adlibesco"	"be pleasing, gratify; be roused with desire (for);"
"120"	"adlicefacio"	"entice, allure; attract, lure, seduce;"
"121"	"adlicio"	"draw gently to, entice, lure, induce (sleep), attract, win over, encourage;"
"122"	"adlido"	"dash/crush against, bruise; ruin, damage; shipwreck; (PASS) suffer damage;"
"123"	"adlino"	"smear/spread/dash over (W/DAT); spread out on; adhere to;"
"124"	"adlubesco"	"be pleasing, gratify; be roused with desire (for);"
"125"	"adludo"	"frolic/play/sport around/with, play against; jest, make mocking allusion to;"
"126"	"adluo"	"wash/flow past/near/against, lap; beset; bathe (person) (tears); deposit silt;"
"127"	"admitto"	"urge on, put to a gallop; let in, admit, receive; grant, permit, let go;"
"128"	"admonefacio"	"admonish; warn; urge; call to duty;"
"129"	"adnecto"	"tie on/to, tie up (ship); bind to; fasten on; attach, connect, join, annex;"
"130"	"adnuo"	"designate by a nod; indicate, declare; nod assent; smile on; agree to, grant;"
"131"	"adobruo"	"cover over with earth, bury;"
"132"	"adolesco"	"burn, blaze up, flame, be kindled; (of a sacrifice);"
"133"	"adolesco"	"grow up, mature, reach manhood/peak; become established/strong; grow, increase;"
"134"	"adolesco"	"grow up, mature, reach manhood/peak; become established/strong; grow, increase;"
"135"	"adpango"	"fasten to;"
"136"	"adparesco"	"begin to appear;"
"137"	"adpario"	"acquire, gain in addition;"
"138"	"adpello"	"drive to, move up, bring along, force towards; put ashore at, land (ship);"
"139"	"adpendo"	"weigh out; pay/give out; hang, cause to be suspended;"
"140"	"adpetisso"	"seek eagerly after;"
"141"	"adpeto"	"seek/grasp after, desire; assail; strive eagerly/long for; approach, near;"
"142"	"adpingo"	"paint upon/beside; add in writing/painting; add something (to verbal picture);"
"143"	"adpingo"	"|fasten/join to;"
"144"	"adplaudo"	"strike together; clap, applaud; strike, slap; dash to the ground (w/terrae);"
"145"	"adplodo"	"strike together; clap, applaud; strike, slap; dash to the ground (w/terrae);"
"146"	"adpono"	"place near, set before/on table, serve up; put/apply/add to; appoint/assign;"
"147"	"adposco"	"demand in addition;"
"148"	"adprehendo"	"seize (upon), grasp, cling to, lay hold of; apprehend; embrace; overtake;"
"149"	"adprendo"	"seize (upon), grasp, cling to, lay hold of; apprehend; embrace; overtake;"
"150"	"adprimo"	"press on/to; clench (the teeth);"
"151"	"adpromitto"	"promise in addition (to another), promise also;"
"152"	"adquiesco"	"lie with (w/cum), rest, relax; repose (in death); acquiesce, assent; subside;"
"153"	"adquiesco"	"lie with (w/cum), rest, relax; repose (in death); acquiesce, assent; subside;"
"154"	"adquiro"	"acquire besides/in addition, obtain, gain, win, get; add to stock; accrue;"
"155"	"adrado"	"shave/scrape/pare close; trim; fleece; [~ cacumen => lop off];"
"156"	"adrepo"	"creep/move stealthily towards, steal up; feel one's way, worm one's way (trust);"
"157"	"adrigo"	"set upright, tilt upwards, stand on end, raise; become sexually excited/aroused;"
"158"	"adripio"	"take hold of; seize (hand/tooth/claw), snatch; arrest; assail; pick up, absorb;"
"159"	"adrodo"	"gnaw/nibble (away part); erode, eat away(disease/chemicals). wash away (water);"
"160"	"adruo"	"heap up (earth); cover (with earth), bury;"
"161"	"adscendo"	"climb; go/climb up; mount, scale; mount up, embark; rise, ascend, move upward;"
"162"	"adscisco"	"adopt, assume; receive, admit, approve of, associate; take over, claim;"
"163"	"adscribo"	"add/state in writing, insert; appoint; enroll, enfranchise; reckon, number;"
"164"	"adsenesco"	"become old (to any thing);"
"165"	"adsero"	"lay hands on, grasp; assert, allege; free, release; claim; protect, preserve;"
"166"	"adsero"	"plant/set at/near;"
"167"	"adsiccesco"	"dry out, become dry;"
"168"	"adsido"	"sit down, take a seat; perch, alight, settle; sit by/near (to) (w/DAT);"
"169"	"adsisto"	"take a position/stand (near/by), attend; appear before; set/place near;"
