"fourth_conj_not_dep_presentStem"	""
"1"	"abligurio"	"eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"2"	"abligurrio"	"eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"3"	"abortio"	"miscarry;"
"4"	"absilio"	"rush/fly away (from); burst/fly apart;"
"5"	"accersio"	"send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"6"	"accio"	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"7"	"adaperio"	"throw open, open wide; unroll (scroll), open (book); uncover, reveal; open up;"
"8"	"addormio"	"fall asleep, go to sleep; begin to sleep;"
"9"	"adessurio"	"be very hungry/starving;"
"10"	"adesurio"	"be very hungry/starving;"
"11"	"adhinnio"	"whinny to/at; express delight; strive after/long for with voluptuous desire;"
"12"	"adinvenio"	"devise/invent/find out (in addition/intensive);"
"13"	"admoenio"	"bring (siege engine) into operation, draw near the walls; besiege, invest;"
"14"	"admugio"	"low (to); bellow (to); (like a bull);"
"15"	"adnutrio"	"train (on);"
"16"	"adolescenturio"	"want to behave in a youthful manner;"
"17"	"adoperio"	"cover, cover over;"
"18"	"adorio"	"assail/assault/attack, rise against (military/political/plague); accost/address;"
"19"	"adorio"	"|improperly influence; undertake/try/attempt/come to grips; begin/set to work;"
"20"	"adscio"	"take to/up; associate, admit; adopt as one's own; take upon (General's) staff;"
"21"	"adsentio"	"assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"22"	"adservio"	"devote/apply oneself to (w/DAT); aid, help, assist;"
"23"	"adsilio"	"jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"24"	"adulescenturio"	"want to behave in a youthful manner;"
"25"	"advenio"	"come to, arrive; arrive at, reach, be brought; develop, set in, arise;"
"26"	"amaturio"	"wish to love;"
"27"	"ambio"	"go round, visit in rotation, inspect; solicit, canvass; circle, embrace;"
"28"	"amicio"	"clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"29"	"amicio"	"clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"30"	"ammoenio"	"bring (siege engine) into operation, draw near the walls; besiege, invest;"
"31"	"ammugio"	"low (to); bellow (to); (like a bull);"
"32"	"annutrio"	"train (on);"
"33"	"antemoenio"	"provide with a front/protecting wall, provide with a rampart;"
"34"	"antevenio"	"come/go/arrive/act before, get in front of; anticipate, forestall; surpass;"
"35"	"aperio"	"uncover, open, disclose; explain, recount; reveal; found; excavate; spread out;"
"36"	"apsilio"	"rush/fly away (from); burst/fly apart;"
"37"	"arcersio"	"send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"38"	"arcessio"	"send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"39"	"artio"	"insert tightly, wedge; be a tight fit, crowd;"
"40"	"ascio"	"take to/up; associate, admit; adopt as one's own; take upon (General's) staff;"
"41"	"assentio"	"assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"42"	"asservio"	"devote/apply oneself to (w/DAT); aid, help, assist;"
"43"	"assilio"	"jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"44"	"attachio"	"attach; fasten;"
"45"	"audio"	"hear, listen, accept, agree with; obey; harken, pay attention; be able to hear;"
"46"	"balbutio"	"stammer, stutter; lisp; speak obscurely/indistinctly; babble;"
"47"	"balbuttio"	"stammer, stutter; lisp; speak obscurely/indistinctly; babble;"
"48"	"barbio"	"raise/grow a beard;"
"49"	"barrio"	"trumpet (of an elephant);"
"50"	"bipartio"	"divide in two parts; bisect; divide;"
"51"	"bipertio"	"divide in two parts; bisect; divide;"
"52"	"blandio"	"flatter, delude; fawn; coax, urge, behave/speak ingratiatingly; allure; please;"
"53"	"blatio"	"prate, babble; utter in a babbling way; (applied to sounds of certain animals);"
"54"	"bombio"	"buzz, hum;"
"55"	"borrio"	"swarm;"
"56"	"bullio"	"bubble, boil; make bubbles; boil (with indignation);"
"57"	"burrio"	"swarm;"
"58"	"cacaturio"	"have urge to defecate; (rude);"
"59"	"caecutio"	"be blind, see poorly/faultily;"
"60"	"caecuttio"	"be blind, see poorly/faultily;"
"61"	"caenaturio"	"desire to dine; have an appetite for dinner;"
"62"	"calvio"	"deceive, intrigue/use subterfuge/tricks against; be tricked/deceived (PASS);"
"63"	"cambio"	"exchange, barter;"
"64"	"canturio"	"recite with musical intonation; sing continuously (birds); chirp;"
"65"	"catulio"	"be in heat, desire to mate; (e.g., a bitch);"
"66"	"caurio"	"gurr; (natural sound of rutting panther);"
"67"	"cenaturio"	"desire to dine; have an appetite for dinner;"
"68"	"circumfarcio"	"pack/stuff/cram round (with);"
"69"	"circumfinio"	"complete a circle; bring to an end;"
"70"	"circumfulcio"	"support/hold up around;"
"71"	"circumlinio"	"smear/anoint all over (with); decorate, daub/paint around, paint background;"
"72"	"circummetio"	"measure round about;"
"73"	"circummoenio"	"invest with walls/siege works; wall/hem in, secure; fence around; fortify;"
"74"	"circummugio"	"moo/low/bellow round;"
"75"	"circummunio"	"invest with walls/siege works; wall/hem in, secure; fence around; fortify;"
"76"	"circumpavio"	"beat down hard all around;"
"77"	"circumretio"	"encircle with a net; ensnare;"
"78"	"circumsilio"	"leap/spring/hop round;"
"79"	"circumtinnio"	"clash/ring/tinkle round about/all around;"
"80"	"circumvenio"	"encircle, surround; assail, beset; enclose; circumvent; defraud/trick; surpass;"
"81"	"circumvestio"	"clothe, cover over, surround with a covering; wrap up (in words); cloak;"
"82"	"circumvincio"	"bind/fasten round;"
"83"	"coaudio"	"confine to narrow space, cramp; make narrower; narrow/limit scope/application;"
"84"	"coenaturio"	"desire to dine; have an appetite for dinner;"
"85"	"coinquio"	"cut back, prune; cut off, cut down (L+S);"
"86"	"comaudio"	"confine to narrow space, cramp; make narrower; narrow/limit scope/application;"
"87"	"combullio"	"boil fully/thoroughly;"
"88"	"commoenio"	"strongly fortify, entrench; strengthen, secure, reinforce;"
"89"	"commollio"	"soften;"
"90"	"communio"	"fortify strongly, entrench, barricade; strengthen, secure, reinforce;"
"91"	"comparturio"	"be associated in childbirth with any one;"
"92"	"compavio"	"trample on; beat (L+S);"
"93"	"compedio"	"shackle, fetter; put fetters on;"
"94"	"comperio"	"learn/discover/find (by investigation); verify/know for certain; find guilty;"
"95"	"compotio"	"put in possession of, make partaker of; (PASS) attain; obtain, come into (L+S);"
"96"	"conbullio"	"boil fully/thoroughly;"
"97"	"concio"	"move, set in violent motion, stir up; muster; rouse, excite, incite, provoke;"
"98"	"concustodio"	"watch over/carefully, guard, protect;"
"99"	"condio"	"preserve/pickle; embalm/mummify; spice; season/flavor/render pleasant/give zest;"
"100"	"condormio"	"sleep soundly; be fast asleep;"
"101"	"confercio"	"stuff/cram/pack/press (close) together; fill densely; raise a shout in unison;"
"102"	"conforio"	"defile/pollute with ordure/diarrhea; (rude);"
"103"	"confulcio"	"press together;"
"104"	"congarrio"	"prattle;"
"105"	"conpavio"	"trample on; beat (L+S);"
"106"	"conpedio"	"shackle, fetter; put fetters on;"
"107"	"conperio"	"learn/discover/find (by investigation); verify/know for certain; find guilty;"
"108"	"conpotio"	"put in possession of, make partaker of; (PASS) attain; obtain, come into (L+S);"
"109"	"consaepio"	"surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"110"	"consario"	"hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"111"	"consario"	"hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"112"	"consario"	"hoe thoroughly/to pieces; rake (L+S);"
"113"	"consarrio"	"hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"114"	"consarrio"	"hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"115"	"conscio"	"feel guilty; be conscious of (wrong); have on conscience; know well (late);"
"116"	"consentio"	"join/share in sensation/feeling; be in agreement/harmony; be of the same mind;"
"117"	"consentio"	"|act together; plot, conspire, combine; coincide; be in conjunction (planets);"
"118"	"consentio"	"||agree, consent; fit/be consistent/in sympathy/unison with; favor; assent to;"
"119"	"consepelio"	"bury with;"
"120"	"consepio"	"surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"121"	"consipio"	"surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"122"	"consopio"	"lull/put to sleep, make unconscious; stupefy, benumb; make obsolete;"
"123"	"conspelio"	"bury with;"
"124"	"constabilio"	"establish; put on a firm basis; strengthen; confirm, make firm (L+S);"
"125"	"contravenio"	"oppose;"
"126"	"contrio"	"wear down;"
"127"	"convenio"	"be appropriate to, fit, be correctly shaped/consistent; harmonize, agree, tally;"
"128"	"convenio"	"|meet/assemble; go to meet; come together; (have sex); converge; visit/approach;"
"129"	"convenio"	"||resort to; sue, prosecute, take legal action; be agreed upon/arranged (PASS);"
"130"	"convenit"	"it agrees/came together/is agreed/asserted; [bene ~ nobis=>we're on good terms];"
"131"	"convestio"	"clothe, dress; cover; cover with clothing (L+S); surround;"
"132"	"cooperio"	"cover wholly/completely, cover up; overwhelm, bury deep; [lapidibus ~ => stone];"
"133"	"coperio"	"cover wholly/completely, cover up; overwhelm, bury deep; [lapidibus ~ => stone];"
"134"	"cosentio"	"join/share in sensation/feeling; be in agreement/harmony; be of the same mind;"
"135"	"cosentio"	"|act together; plot, conspire, combine; coincide; be in conjunction (planets);"
"136"	"cosentio"	"||agree, consent; fit/be consistent/in sympathy/unison with; favor; assent to;"
"137"	"cratio"	"bush-harrow;"
"138"	"crinio"	"deck/cover/provide with hair;"
"139"	"croccio"	"croak/caw (like a raven);"
"140"	"crocio"	"croak/caw (like a raven);"
"141"	"cuccubio"	"hoot; (of owls);"
"142"	"cucurrio"	"crow; (of cocks);"
"143"	"cunio"	"defecate;"
"144"	"custodio"	"guard/protect/preserve, watch over, keep safe; take heed/care, observe; restrain"
"145"	"decutio"	"flay, skin; deprive of skin;"
"146"	"definio"	"define/bound/fix/limit/mark; restrict/confine; assign, ordain; lay down (rule);"
"147"	"definio"	"|finish off/put an end/end the life; determine, settle; specify, sum up; assert;"
"148"	"deglutio"	"swallow down; overwhelm, abolish (L+S);"
"149"	"degluttio"	"swallow down; overwhelm, abolish (L+S);"
"150"	"degrunnio"	"give a performance of grunting; grunt hard (L+S);"
"151"	"dehaurio"	"drain off; skim off (L+S); (late) swallow, swallow down;"
"152"	"dehorio"	"drain off; skim off (L+S); (late) swallow, swallow down;"
"153"	"delenio"	"mitigate, mollify, smooth down, soothe; soften, cajole; bewitch, charm, entice;"
"154"	"delinio"	"mitigate, mollify, smooth down, soothe; soften, cajole; bewitch, charm, entice;"
"155"	"dementio"	"become deranged; lose one's reason; be mad, rave;"
"156"	"demolio"	"throw/cast off, remove; pull/tear down, demolish/destroy/lay waste; abolish;"
"157"	"demugio"	"fill with the sound of lowing/bellowing;"
"158"	"demuttio"	"speak very softly;"
"159"	"dentio"	"teethe, cut teeth; (of teeth) grow longer (for lack of food to eat);"
"160"	"deoperio"	"uncover, lay bare; open up; disclose (L+S);"
"161"	"deorio"	"drain off; skim off (L+S); (late) swallow, swallow down;"
"162"	"depolio"	"polish thoroughly; smooth, polish off (L+S);"
"163"	"depuio"	"beat thoroughly; strike, beat;"
"164"	"depuvio"	"beat thoroughly; strike, beat;"
"165"	"desaevio"	"rage, rave furiously; work off/vent one's rage;"
"166"	"desaevio"	"rage, rave furiously; work off/vent one's rage;"
"167"	"deservio"	"serve; devote oneself to (interest/job); be subject to; be of service/use to;"
"168"	"desilio"	"leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"169"	"desilio"	"leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"170"	"desilio"	"leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"171"	"devenio"	"come to, arrive/turn up (at); go (to see/stay); reach; land; turn to; extend to;"
"172"	"devestio"	"undress (w/ABL); change/take off clothes; strip (off);"
"173"	"devincio"	"tie/bind up, hold/fix fast; subjugate; obligate/oblige/constrain; unite closely;"
