abarceo, abarcere, -, -	keep away;
aberceo, abercere, -, -	keep away; forbid;
abhibeo, abhibere, -, -	hold at a distance;
abhorreo, abhorrere, abhorrui, -	abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;
abnueo, abnuere, -, -	refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;
aboleo, abolere, abolevi, abolitus	destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;
abscondeo, abscondere, abscondui, absconditus	hide, conceal, secrete, "shelter"; leave behind; bury, engulf, swallow up; keep;
absorbeo, absorbere, absorbui, absorptus	devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;
absorbeo, absorbere, absorpsi, absorptus	devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;
abstergeo, abstergere, abstersi, abstersus	wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;
absterreo, absterrere, absterrui, absterritus	frighten off/away; drive away; deter, discourage; keep away/withhold from, den;
abstineo, abstinere, abstinui, abstentus	withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;
accenseo, accensere, accensui, accensus	attach as an attendant to; add to;
acceo, accere, -, -	send for, summon (forth), fetch; invite; (w/mortum) commit suicide;
accieo, acciere, accivi, accitus	send for, summon (forth), fetch; invite; (w/mortum) commit suicide;
aceo, acere, -, -	be sour;
acueo, acuere, acuui, acuitus	accentuate;
adaugeo, adaugere, adauxi, adauctus	increase, augment, intensify; supplement, make more; exaggerate, magnify;
addecet, addecere, -, -	it is fitting/proper, it behooves;
addenseo, addensere, -, -	make more dense, close up (the ranks);
addoceo, addocere, addocui, -	teach new/additional accomplishments;
adfleo, adflere, adflevi, adfletus	weep/cry at; weep as an accompaniment;
adfulgeo, adfulgere, adfulsi, -	shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;
adgaudeo, adgaudere, -, -	delight in; be delighted with;
adhaereo, adhaerere, adhaesi, adhaesus	adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;
adhereo, adherere, adhesi, adhesus	adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;
adhibeo, adhibere, adhibui, adhibitus	summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;
adhorreo, adhorrere, adhorrui, -	shudder (in addition);
adimpleo, adimplere, adimplevi, adimpletus	fill up (with); fulfill, carry out (promise/obligation);
adjaceo, adjacere, adjacui, adjacitus	lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;
adluceo, adlucere, adluxi, -	shine upon; light (torch); show/give (opportunity/chance); give/supply light;
admisceo, admiscere, admiscui, admistus	mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;
admisceo, admiscere, admiscui, admixtus	mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;
admoneo, admonere, admonui, admonitus	admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;
