"#abominor, abominari, abominatus sum  V (1st) DEP                                                    [XXXCO] :: avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;"
"#acedior, acediari, acediatus sum  V (1st) DEP                                                       [DXXFS] :: be morose/peevish; be weary (Souter);"
"#adaquor, adaquari, adaquatus sum  V (1st) DEP                                                       [XXXFS] :: bring/procure water (for one's self); fetch water;"
"#adfector, adfectari, adfectatus sum  V (1st) DEP                                                    [XXXCO] :: aim at, desire, aspire, try, lay claim to; try to control; feign, pretend;"
"#adfor, adfari, adfatus sum  V (1st) DEP                                                             [XXXCO] :: speak to, address; be spoked to/addressed (PASS), be decreed by fate;"
"#adgeniculor, adgeniculari, adgeniculatus sum  V (1st) DEP                                           [DXXES] :: kneel before, bend the knee before;"
"#adgratulor, adgratulari, adgratulatus sum  V (1st) DEP                                              [FXXFZ] :: give thanks (to)(JFW);"
"#adhortor, adhortari, adhortatus sum  V (1st) DEP                                                    [XXXBO] :: encourage, urge on; rally; exhort;"
"#adjutor, adjutari, adjutatus sum  V (1st) DEP                                                       [XXXDO] :: help (w/burden/activity); help realize a program/purpose;"
"#adluctor, adluctari, adluctatus sum  V (1st) DEP                                                    [XXXEO] :: wrestle; wrestle with (w/DAT);"
"#adminiculor, adminiculari, adminiculatus sum  V (1st) DEP                                           [XAXFS] :: prop (up), support (with props) (vines);"
"#admiror, admirari, admiratus sum  V (1st) DEP                                                       [XXXBO] :: admire, respect; regard with wonder, wonder at; be surprised at, be astonished;"
"#admoderor, admoderari, -  V (1st) DEP                                                               [XXXFO] :: control (w/DAT); keep within limits; moderate;"
"#admodulor, admodulari, admodulatus sum  V (1st) DEP                                                 [DXXFS] :: harmonize/accord with;"
"#admurmuror, admurmurari, admurmuratus sum  V (1st) DEP                                              [XXXFS] :: murmur in protest or approval; murmur at;"
"#adolescentior, adolescentiari, adolescentiatus sum  V (1st) DEP                                     [XXXFO] :: behave in a youthful manner;"
"#adolor, adolari, adolatus sum  V (1st) DEP                                                          [XXXBO] :: fawn upon (as dog); flatter (in servile manner), court; make obeisance (to);"
"#adopinor, adopinari, adopinatus sum  V (1st) DEP                                                    [XXXFO] :: conjecture/surmise/opine/think/suppose (further);"
