"","V1","V2"
"1","abaestuat","wave down; hang down richly (poet.);"
"2","abalienat","make alien; separate, abstract; alienate, estrange, make disaffected;"
"3","abalienat","|transfer (sale/contract); remove, take away, dispose of; numb/deaden;"
"4","abambulat","go away;"
"5","abbreviat","shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;"
"6","abdicat","resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;"
"7","abequitat","ride away;"
"8","aberrat","stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);"
"9","abitat","go away, depart;"
"10","abjectat","throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"11","abjudicat","deprive by judicial verdict; give judgment against; reject; deny an oath;"
"12","abjugat","separate (from), remove; loose from the yoke;"
"13","abjurgat","take away in settlement of a quarrel; deny/refuse reproachfully (L+S);"
"14","abjurat","repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;"
"15","ablactat","wean;"
"16","ablacuat","loosen/weed the soil at the roots (of trees);"
"17","ablacuat","loosen/weed the soil at the roots (of trees);"
"18","ablaqueat","loosen/weed the soil at the roots (of trees);"
"19","ablegat","send away/off (on a mission); banish, get rid of; remove/delete a word;"
"20","ablocat","place a contract for (work), hire; let/lease/rent (house);"
"21","abnatat","swim away from; swim off;"
"22","abnegat","deny; decline (to), refuse, reject; refuse to give, withhold (what is due);"
"23","abnoctat","spend the night out, stay away all night; spend the night away from Rome;"
"24","abnodat","cut off knots; clear trees of knots;"
"25","abnumerat","count up, reckon up;"
"26","abnutat","deny/refuse/forbid (w/shake of head) repeatedly; forbid;"
"27","abominat","avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;"
"28","abortat","cast its young (beast) (give birth prematurely);"
"29","abrenuntiat","renounce, repudiate (strongly);"
"30","abrogat","abolish; repeal wholly, annul; remove, take away;"
"31","absentat","send away, cause one to be absent; be absent;"
"32","absonat","have harsh/discordant/unpleasant sound;"
"33","abstat","stand at a distance, stand off; keep at a distance;"
"34","abundat","abound (in), have in large measure; overdo, exceed; overflow; be rich/numerous;"
"35","accapitat","admit subservience; acknowledge feudal liability;"
"36","accelerat","speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;"
"37","acceptat","receive regularly, take (payment/food); be given (name); submit to; grasp idea;"
"38","accessitat","approach repeatedly; keep on coming;"
"39","accipitrat","tear, rend (like a hawk);"
"40","acclamat","shout (at), cry out against, protest; shout approval, applaud;"
"41","acclarat","make clear, reveal, make manifest;"
"42","acclinat","lay down, rest (on) (w/DAT), lean against/towards, incline (to);"
"43","accommodat","adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;"
"44","accomodat","adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;"
"45","accongerat","bear, bring forth;"
"46","accordat","agree with; harmonize;"
"47","accorporat","incorporate, fit/join to;"
"48","accubit","lie near or by; recline at table;"
"49","accumulat","accumulate, heap/pile up/soil; add by exaggeration; add, increase, enhance;"
"50","accurat","take care of, attend to (duties/guests), give attention to; perform with care;"
"51","accusitat","accuse repeatedly; go on accusing;"
"52","accusat","accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense);"
"53","accussat","accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense);"
"54","acerbat","embitter; aggravate; make disagreeable; make worse;"
"55","acervat","heap/pile up; make into heaps/piles; massed/categorized together; cover with;"
"56","acetascat","become sour/vinegary;"
