"","V1","V2"
"1","abolit","destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"
"2","abscondit","hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
"3","absorpt","devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"4","absorpt","devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"
"5","absters","wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"6","absterrit","frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
"7","abstent","withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
"8","accens","attach as an attendant to; add to;"
"9","accit","send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"10","acuit","accentuate;"
"11","adauct","increase, augment, intensify; supplement, make more; exaggerate, magnify;"
"12","adflet","weep/cry at; weep as an accompaniment;"
"13","adhaes","adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
"14","adhes","adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
"15","adhibit","summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;"
"16","adimplet","fill up (with); fulfill, carry out (promise/obligation);"
"17","adjacit","lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;"
"18","admist","mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"19","admixt","mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"20","admonit","admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
"21","admors","bite at/into, gnaw; extract money from; fleece; get possession of their property"
"22","admot","move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
"23","adolult","worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;"
"24","adparit","appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
"25","adris","smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
"26","adsess","sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
"27","adtent","hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
"28","adtons","clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
"29","adtort","whirl at; hurl upwards;"
"30","afflet","weep/cry at; weep as an accompaniment;"
"31","ammixt","mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"32","ammonit","admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
"33","ammors","bite at/into, gnaw; extract money from; fleece; get possession of his property;"
"34","ammot","move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
"35","amot","move/take/put away, remove, steal; banish, cause to go away; withdraw, retire;"
"36","antehabit","have previously; prefer;"
"37","apparit","appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
"38","apsorpt","devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"39","apsorpt","devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"40","apsters","wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"41","apsterrit","frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
"42","apstent","withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
"43","ars","be on fire; burn, blaze; flash; glow, sparkle; rage; be in a turmoil/love;"
"44","arris","smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
"45","assess","sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
"46","attent","hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
"47","attons","clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
"48","aucit","observe attentively;"
"49","auct","increase, enlarge, augment; spread; honor, promote, raise; exalt; make a lot of;"
"50","beneplacit","please; be pleasing to;"
"51","carit","be without/absent from/devoid of/free from; miss; abstain from, lack, lose;"
"52","caut","beware, avoid, take precautions/defensive action; give/get surety; stipulate;"
"53","censit","think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
"54","cens","think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
"55","cit","move, set in motion; excite/rouse/stir up; urge on; summon/muster/call up;"
"56","cit","|disturb, shake; provoke (war); invoke, call on by name; cite; raise/produce;"
"57","circumdolit","suffer on every side;"
"58","circumjacit","lie near/round about, border on; (of persons, places, objects);"
"59","circummuls","lick round, caress (with tongue);"
"60","circumsess","besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
"61","circumsiss","besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
"62","circumtent","posses; keep/hold around;"
"63","circumters","wipe/rub round about/all around;"
"64","circumtons","cut/shear/clip all around (hair);"
"65","circumtort","pull/twist/turn/wind/bend/spin round;"
