"","V1","V2"
"1","abligurit","eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"2","abligurrit","eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"3","accit","send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"4","adaperit","throw open, open wide; unroll (scroll), open (book); uncover, reveal; open up;"
"5","addormit","fall asleep, go to sleep; begin to sleep;"
"6","adessurit","be very hungry/starving;"
"7","adesurit","be very hungry/starving;"
"8","adhinnit","whinny to/at; express delight; strive after/long for with voluptuous desire;"
"9","adinvent","devise/invent/find out (in addition/intensive);"
"10","admoenit","bring (siege engine) into operation, draw near the walls; besiege, invest;"
"11","adopert","cover, cover over;"
"12","adorit","assail/assault/attack, rise against (military/political/plague); accost/address;"
"13","adorit","|improperly influence; undertake/try/attempt/come to grips; begin/set to work;"
"14","adsens","assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"15","adservit","devote/apply oneself to (w/DAT); aid, help, assist;"
"16","adsult","jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"17","advent","come to, arrive; arrive at, reach, be brought; develop, set in, arise;"
"18","amaturit","wish to love;"
"19","ambit","go round, visit in rotation, inspect; solicit, canvass; circle, embrace;"
"20","amict","clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"21","amict","clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"22","ammoenit","bring (siege engine) into operation, draw near the walls; besiege, invest;"
"23","antemoenit","provide with a front/protecting wall, provide with a rampart;"
"24","antevent","come/go/arrive/act before, get in front of; anticipate, forestall; surpass;"
"25","apert","uncover, open, disclose; explain, recount; reveal; found; excavate; spread out;"
"26","arcersit","send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"27","arcesit","send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"28","assens","assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"29","asservit","devote/apply oneself to (w/DAT); aid, help, assist;"
"30","assult","jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"31","attachit","attach; fasten;"
"32","audit","hear, listen, accept, agree with; obey; harken, pay attention; be able to hear;"
"33","barbit","raise/grow a beard;"
"34","bipartit","divide in two parts; bisect; divide;"
"35","bipertit","divide in two parts; bisect; divide;"
"36","blandit","flatter, delude; fawn; coax, urge, behave/speak ingratiatingly; allure; please;"
"37","bombit","buzz, hum;"
"38","borrit","swarm;"
"39","bullit","bubble, boil; make bubbles; boil (with indignation);"
"40","burrit","swarm;"
"41","cacaturit","have urge to defecate; (rude);"
"42","calvit","deceive, intrigue/use subterfuge/tricks against; be tricked/deceived (PASS);"
"43","cambit","exchange, barter;"
"44","canturit","recite with musical intonation; sing continuously (birds); chirp;"
"45","circumfart","pack/stuff/cram round (with);"
"46","circumfinit","complete a circle; bring to an end;"
"47","circumfult","support/hold up around;"
"48","circummens","measure round about;"
"49","circummoenit","invest with walls/siege works; wall/hem in, secure; fence around; fortify;"
"50","circummugit","moo/low/bellow round;"
"51","circummunit","invest with walls/siege works; wall/hem in, secure; fence around; fortify;"
"52","circumpavit","beat down hard all around;"
"53","circumretit","encircle with a net; ensnare;"
"54","circumtinnit","clash/ring/tinkle round about/all around;"
"55","circumvent","encircle, surround; assail, beset; enclose; circumvent; defraud/trick; surpass;"
"56","circumvestit","clothe, cover over, surround with a covering; wrap up (in words); cloak;"
"57","circumvinct","bind/fasten round;"
"58","coaudit","confine to narrow space, cramp; make narrower; narrow/limit scope/application;"
