"","x"
"1","#abaestuo, abaestuare, abaestuavi, abaestuatus  V (1st) INTRANS                                      [DXXFS] :: wave down; hang down richly (poet.);"
"2","#abalieno, abalienare, abalienavi, abalienatus  V (1st) TRANS                                        [XXXBS] :: make alien; separate, abstract; alienate, estrange, make disaffected;"
"3","#abalieno, abalienare, abalienavi, abalienatus  V (1st) TRANS                                        [XXXBO] :: |transfer (sale/contract); remove, take away, dispose of; numb/deaden;"
"4","#abambulo, abambulare, abambulavi, abambulatus  V (1st) INTRANS                                      [XXXFO] :: go away;"
"5","#abbatizo, abbatizare, -, -  V (1st) INTRANS                                                         [FEXFM] :: be abbot;"
"6","#abbrevio, abbreviare, abbreviavi, abbreviatus  V (1st) TRANS                                        [EXXCE] :: shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;"
"7","#abdico, abdicare, abdicavi, abdicatus  V (1st) TRANS                                                [XLXBO] :: resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;"
"8","#abequito, abequitare, abequitavi, abequitatus  V (1st) INTRANS                                      [XXXEO] :: ride away;"
"9","#aberro, aberrare, aberravi, aberratus  V (1st) INTRANS                                              [XXXBO] :: stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);"
"10","#abito, abitare, abitavi, abitatus  V (1st) INTRANS                                                  [XXXFC] :: go away, depart;"
"11","#abjecto, abjectare, abjectavi, abjectatus  V (1st) TRANS                                            [FXXCV] :: throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"12","#abjudico, abjudicare, abjudicavi, abjudicatus  V (1st) TRANS                                        [XLXCO] :: deprive by judicial verdict; give judgment against; reject; deny an oath;"
"13","#abjugo, abjugare, abjugavi, abjugatus  V (1st) TRANS                                                [XXXES] :: separate (from), remove; loose from the yoke;"
"14","#abjurgo, abjurgare, abjurgavi, abjurgatus  V (1st) TRANS                                            [XLXEO] :: take away in settlement of a quarrel; deny/refuse reproachfully (L+S);"
"15","#abjuro, abjurare, abjuravi, abjuratus  V (1st) TRANS                                                [XLXCO] :: repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;"
"16","#ablacto, ablactare, ablactavi, ablactatus  V (1st) INTRANS                                          [EXXCE] :: wean;"
"17","#ablacuo, ablacuare, ablacuavi, ablacuatus  V (1st)                                                  [XAXEO] :: loosen/weed the soil at the roots (of trees);"
"18","#ablacuo, ablacuare, ablacuavi, ablacuatus  V (1st) TRANS                                            [XAXEO] :: loosen/weed the soil at the roots (of trees);"
"19","#ablaqueo, ablaqueare, ablaqueavi, ablaqueatus  V (1st) TRANS                                        [XAXEO] :: loosen/weed the soil at the roots (of trees);"
"20","#ablego, ablegare, ablegavi, ablegatus  V (1st) TRANS                                                [XXXCO] :: send away/off (on a mission); banish, get rid of; remove/delete a word;"
