"#abarceo, abarcere, -, -  V (2nd) TRANS                                                              [XXXEO] :: keep away;"
"#aberceo, abercere, -, -  V (2nd) TRANS                                                              [XXXEO] :: keep away; forbid;"
"#abhibeo, abhibere, -, -  V (2nd) TRANS                                                              [XXXEO] :: hold at a distance;"
"#abhorreo, abhorrere, abhorrui, -  V (2nd)                                                           [XXXAO] :: abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;"
"#abnueo, abnuere, -, -  V (2nd)                                                                      [BXXAO] :: refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"
"#aboleo, abolere, abolevi, abolitus  V (2nd) TRANS                                                   [XXXBO] :: destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"
"#abscondeo, abscondere, abscondui, absconditus  V (2nd)                                              [EXXEW] :: hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
"#absorbeo, absorbere, absorbui, absorptus  V (2nd) TRANS                                             [XXXCO] :: devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"#absorbeo, absorbere, absorpsi, absorptus  V (2nd) TRANS                                             [XXXDX] :: devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"
"#abstergeo, abstergere, abstersi, abstersus  V (2nd) TRANS                                           [XXXCO] :: wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"#absterreo, absterrere, absterrui, absterritus  V (2nd) TRANS                                        [XXXCO] :: frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
"#abstineo, abstinere, abstinui, abstentus  V (2nd)                                                   [XXXAO] :: withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
"#accenseo, accensere, accensui, accensus  V (2nd) TRANS                                              [XXXEO] :: attach as an attendant to; add to;"
"#acceo, accere, -, -  V (2nd) TRANS                                                                  [BXXES] :: send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"#accieo, acciere, accivi, accitus  V (2nd) TRANS                                                     [DXXES] :: send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"#aceo, acere, -, -  V (2nd) INTRANS                                                                  [XXXFO] :: be sour;"
"#acueo, acuere, acuui, acuitus  V (2nd)                                                              [FXXEK] :: accentuate;"
"#adaugeo, adaugere, adauxi, adauctus  V (2nd) TRANS                                                  [XXXBO] :: increase, augment, intensify; supplement, make more; exaggerate, magnify;"
"#addecet, addecere, -, -  V (2nd) IMPERS                                                             [XXXCO] :: it is fitting/proper, it behooves;"
"#addenseo, addensere, -, -  V (2nd) TRANS                                                            [XXXFO] :: make more dense, close up (the ranks);"
"#addoceo, addocere, addocui, -  V (2nd) TRANS                                                        [XXXFO] :: teach new/additional accomplishments;"
