"#abutor, abuti, abusus sum  V (3rd) DEP                                                              [XXXAO] :: waste, squander; abuse; misuse; use up; spend; exhaust; misapply (word); curse;"
"#adfundor, adfundi, adfusus sum  V (3rd) DEP                                                         [XXXCO] :: prostrate oneself; cause to be spread on/over; flow alongside/past (streams);"
"#adgnascor, adgnasci, adgnatus sum  V (3rd) DEP                                                      [XXXBO] :: be born in addition/after father's will made; develop; grow later/on, arise;"
"#adgredior, adgredi, adgressus sum  V (3rd) DEP                                                      [XXXAS] :: approach, advance; attack, assail; undertake, seize (opportunity), attempt;"
"#adipiscor, adipisci, adeptus sum  V (3rd) DEP                                                       [XXXBO] :: gain, secure, win, obtain;  arrive at, come up to/into; inherit; overtake;"
"#adlabor, adlabi, adlapsus sum  V (3rd) DEP                                                          [XXXCO] :: glide/move/flow towards (w/DAT/ACC); creep up; steal into; fly (missiles);"
"#adloquor, adloqui, adlocutus sum  V (3rd) DEP                                                       [XXXCO] :: speak to (friendly); address, harangue, make a speech (to); call on; console;"
"#adnitor, adniti, adnisus sum  V (3rd) DEP                                                           [XXXBX] :: lean/rest upon, support oneself, (w/genibus) kneel; strive, work, exert, try;"
"#adnitor, adniti, adnixus sum  V (3rd) DEP                                                           [XXXCO] :: lean/rest upon, support oneself, (w/genibus) kneel; strive, work, exert, try;"
"#adpiciscor, adpicisci, -  V (3rd) DEP                                                               [XXXFO] :: bargain?;"
"#adsequor, adsequi, adsecutus sum  V (3rd) DEP                                                       [XXXAO] :: follow on, pursue, go after; overtake; gain, achieve; equal, rival; understand;"
"#adtuor, adtui, -  V (3rd) DEP                                                                       [XXXFO] :: observe, look at;"
"#affundor, affundi, affusus sum  V (3rd) DEP                                                         [XXXCO] :: prostrate oneself; cause to be spread on/over; flow alongside/past (streams);"
"#aggredior, aggredi, aggressus sum  V (3rd) DEP                                                      [XXXAO] :: approach, advance; attack, assail; undertake, seize (opportunity), attempt;"
"#agnascor, agnasci, agnatus sum  V (3rd) DEP                                                         [XLXBO] :: be born in addition/after father's will made; develop; grow later/on, arise;"
"#allabor, allabi, allapsus sum  V (3rd) DEP                                                          [XXXCO] :: glide/move/flow/fall towards (w/DAT/ACC); creep up; steal into; fly (missiles);"
