"#abbibo, abbibere, abbibi, -  V (3rd)                                                                [XXXDO] :: drink (in addition), take in by drinking; drink in, absorb, listen eagerly to;"
"#abbito, abbitere, -, -  V (3rd) INTRANS                                                             [XXXFO] :: approach, come/draw near;"
"#abdico, abdicere, abdixi, abdictus  V (3rd) TRANS                                                   [XLXEO] :: be against, reject; withhold (someone's right); forbid by unfavorable omen;"
"#abdo, abdere, abdidi, abditus  V (3rd) TRANS                                                        [XXXAO] :: remove, put away, set aside; depart, go away; hide, keep secret, conceal;"
"#abduco, abducere, abduxi, abductus  V (3rd) TRANS                                                   [XXXAO] :: lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;"
"#abfluo, abfluere, abfluxi, -  V (3rd) INTRANS                                                       [XXXEO] :: flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);"
"#abfugio, abfugere, abfugi, -  V (3rd)                                                               [XXXCO] :: flee (from), shun; run/fly away, escape; disappear/vanish (things);"
"#abhorresco, abhorrescere, abhorrui, -  V (3rd)                                                      [DEXFS] :: dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;"
"#abicio, abicere, abjeci, abjectus  V (3rd) TRANS                                                    [XXXAO] :: throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"#abico, abicere, -, -  V (3rd) TRANS                                                                 [EXXCN] :: humble; cast aside/away/off, reject;"
"#abigo, abigere, abegi, abactus  V (3rd) TRANS                                                       [XXXBO] :: drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"
"#abigo, abigere, abegi, abactus  V (3rd) TRANS                                                       [DBXES] :: |remove/cure (disease); drive away (an evil); force birth; procure abortion;"
"#abigo, abigere, abigi, abactus  V (3rd) TRANS                                                       [EXXBW] :: drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"
"#abigo, abigere, abigi, abactus  V (3rd) TRANS                                                       [EBXEW] :: |remove/cure (disease); drive away (an evil); force birth; procure abortion;"
"#abjicio, abjicere, abjeci, abjectus  V (3rd) TRANS                                                  [XXXAS] :: throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"#abjungo, abjungere, abjunxi, abjunctus  V (3rd) TRANS                                               [XXXBO] :: unyoke, remove, separate; unharness; remove part, split; cut off from, detach;"
"#abludo, abludere, -, -  V (3rd) INTRANS                                                             [XXXEO] :: differ from; fall short of; play out of tune;"
"#abluo, abluere, ablui, ablutus  V (3rd) TRANS                                                       [XXXBO] :: wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;"
"#abnuo, abnuere, abnui, abnuitus  V (3rd)                                                            [XXXAO] :: refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"
"#abolefacio, abolefacere, abolefeci, abolefactus  V (3rd) TRANS                                      [DXXFS] :: destroy;"
"#abolesco, abolescere, abolevi, -  V (3rd) INTRANS                                                   [XXXCO] :: decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;"
"#aborisco, aboriscere, -, -  V (3rd) INTRANS                                                         [XXXFO] :: pass/fade away, disappear, be lost;"
