"#abligurio, abligurire, abligurivi, abliguritus  V (4th) TRANS                                       [XXXEO] :: eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"#abligurrio, abligurrire, abligurrivi, abligurritus  V (4th) TRANS                                   [XXXFL] :: eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"#abortio, abortire, -, -  V (4th) INTRANS                                                            [DBXFS] :: miscarry;"
"#absilio, absilire, -, -  V (4th) INTRANS                                                            [XXXDO] :: rush/fly away (from); burst/fly apart;"
"#accersio, accersire, -, -  V (4th) TRANS                                                            [XXXDO] :: send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"#accio, accire, accivi, accitus  V (4th) TRANS                                                       [XXXBO] :: send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"#adaperio, adaperire, adaperivi, adaperitus  V (4th) TRANS                                           [EXXFW] :: throw open, open wide; unroll (scroll), open (book); uncover, reveal; open up;"
"#addormio, addormire, addormivi, addormitus  V (4th) INTRANS                                         [DXXFS] :: fall asleep, go to sleep; begin to sleep;"
"#adessurio, adessurire, adessurivi, adessuritus  V (4th) INTRANS                                     [XXXFO] :: be very hungry/starving;"
"#adesurio, adesurire, adesurivi, adesuritus  V (4th) INTRANS                                         [XXXFO] :: be very hungry/starving;"
"#adhinnio, adhinnire, adhinnivi, adhinnitus  V (4th)                                                 [XAXCO] :: whinny to/at; express delight; strive after/long for with voluptuous desire;"
"#adinvenio, adinvenire, adinveni, adinventus  V (4th) TRANS                                          [XXXFO] :: devise/invent/find out (in addition/intensive);"
"#admoenio, admoenire, admoenivi, admoenitus  V (4th) TRANS                                           [XXXEO] :: bring (siege engine) into operation, draw near the walls; besiege, invest;"
"#admugio, admugire, -, -  V (4th) INTRANS                                                            [XAXFO] :: low (to); bellow (to); (like a bull);"
"#adnutrio, adnutrire, -, -  V (4th) TRANS                                                            [XXXFO] :: train (on);"
"#adolescenturio, adolescenturire, -, -  V (4th) INTRANS                                              [XXXFO] :: want to behave in a youthful manner;"
"#adoperio, adoperire, adoperui, adopertus  V (4th) TRANS                                             [XXXEO] :: cover, cover over;"
"#adorio, adorire, -, adoritus  V (4th) TRANS                                                         [XWXBO] :: assail/assault/attack, rise against (military/political/plague); accost/address;"
"#adorio, adorire, -, adoritus  V (4th) TRANS                                                         [XWXBO] :: |improperly influence; undertake/try/attempt/come to grips; begin/set to work;"
"#adscio, adscire, -, -  V (4th) TRANS                                                                [XXXDO] :: take to/up; associate, admit; adopt as one's own; take upon (General's) staff;"
"#adsentio, adsentire, adsensi, adsensus  V (4th) INTRANS                                             [XXXCO] :: assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"#adservio, adservire, adservivi, adservitus  V (4th) DAT                                             [XXXFO] :: devote/apply oneself to (w/DAT); aid, help, assist;"
"#adsilio, adsilire, adsilui, adsultus  V (4th)                                                       [XXXBO] :: jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"#adulescenturio, adulescenturire, -, -  V (4th) INTRANS                                              [XXXFO] :: want to behave in a youthful manner;"
"#advenio, advenire, adveni, adventus  V (4th) INTRANS                                                [XXXAO] :: come to, arrive; arrive at, reach, be brought; develop, set in, arise;"
"#amaturio, amaturire, amaturivi, amaturitus  V (4th) TRANS                                           [DXXFS] :: wish to love;"
"#ambio, ambire, ambivi, ambitus  V (4th)                                                             [XXXAO] :: go round, visit in rotation, inspect; solicit, canvass; circle, embrace;"
"#amicio, amicire, amicui, amictus  V (4th) TRANS                                                     [XXXBO] :: clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"#amicio, amicire, amixi, amictus  V (4th) TRANS                                                      [XXXBO] :: clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"#ammoenio, ammoenire, ammoenivi, ammoenitus  V (4th) TRANS                                           [XXXEO] :: bring (siege engine) into operation, draw near the walls; besiege, invest;"
"#ammugio, ammugire, -, -  V (4th) INTRANS                                                            [XAXFO] :: low (to); bellow (to); (like a bull);"
"#annutrio, annutrire, -, -  V (4th) TRANS                                                            [XXXNO] :: train (on);"
