"#abeo, abire, abivi(ii), abitus  V INTRANS                                                           [XXXAO] :: depart, go away; go off, go forth; pass away, die, disappear; be changed;"
"#abfero, abferre, -, -  V TRANS                                                                      [XXXCO] :: bear, take away, remove, obtain, carry off/away, steal; (error for aufero);"
"#abolefio, aboleferi, abolefactus sum  V SEMIDEP                                                     [DXXFS] :: be destroyed; (abolefacio PASS);"
"#absum, abesse, abfui, abfuturus  V                                                                  [XXXDS] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;"
"#absum, abesse, afui, afuturus  V                                                                    [XXXAO] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;"
"#adedo, adesse, -, -  V TRANS                                                                        [XXXCO] :: eat up, eat into/away at, nibble, squander; wear down, exhaust; erode;"
"#adeo, adire, adivi(ii), aditus  V                                                                   [XXXAO] :: approach; attack; visit, address; undertake; take possession (inheritance);"
#adesdum           V      5 1 PRES ACTIVE  IMP 2 S                                                   [XXXCX] :: come hither; (ades dum);
"#adfero, adferre, adtuli, adlatus  V TRANS                                                           [XXXAO] :: bring to, carry, convey; report, bring word, allege, announce; produce, cause;"
"#adlicefio, adliceferi, adlicefactus sum  V SEMIDEP                                                  [XXXEO] :: be/become enticed/allured/lured; (allicefacio PASS);"
"#admonefio, admoneferi, admonefactus sum  V SEMIDEP                                                  [DXXFS] :: be admonished/warned/urged; be called to duty; (admonefacio PASS);"
"#adsuefio, adsueferi, adsuefactus sum  V SEMIDEP                                                     [XXXCO] :: be/become accustomed (to), be habituated; be trained; (adsuefacio PASS);"
"#adsum, adesse, adfui, adfuturus  V                                                                  [XXXAO] :: be near, be present, be in attendance, arrive, appear; aid (w/DAT);"
"#adsum, adesse, arfui, arfuturus  V                                                                  [BXXCS] :: be near, be present, be in attendance, arrive, appear; aid (w/DAT);"
"#aedifio, aediferi, aedifactus sum  V SEMIDEP                                                        [DXXES] :: be build/erected/constructed/made/created/established; (aedifacio PASS);"
"#affero, afferre, attuli, allatus  V TRANS                                                           [XXXAO] :: bring to (word/food), carry, convey; report, allege, announce; produce, cause;"
#afore             V      5 1 FUT  ACTIVE  INF 0 X                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#aforem            V      5 1 IMPF ACTIVE  SUB 1 S                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#aforemus          V      5 1 IMPF ACTIVE  SUB 1 P                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#aforent           V      5 1 IMPF ACTIVE  SUB 3 P                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#afores            V      5 1 IMPF ACTIVE  SUB 2 S                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#aforet            V      5 1 IMPF ACTIVE  SUB 3 S                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#aforetis          V      5 1 IMPF ACTIVE  SUB 2 P                                                   [XXXCX] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;
#agantur           V      3 1 PRES PASSIVE SUB 3 P      IMPERS                                       [FXXEE] :: let them be treated; let it be a matter or question of;
#agatur            V      3 1 PRES PASSIVE SUB 3 S      IMPERS                                       [FXXEE] :: let it be treated; let it be a matter or question of;
"#aio, -, -  V                                                                                        [XXXAO] :: say (defective), assert; say yes/so, affirm, assent; prescribe/lay down (law);"
"#ait, -, -  V IMPERS                                                                                 [XXXAO] :: he says (ait), it is said; they say (aiunt);"
"#allicefio, alliceferi, allicefactus sum  V SEMIDEP                                                  [XXXEO] :: be/become enticed/allured/lured; (allicefacio PASS);"
"#ambadedo, ambadesse, -, -  V TRANS                                                                  [XXXES] :: eat/gnaw around; eat up entirely;"
"#ambedo, ambesse, -, -  V TRANS                                                                      [XXXCO] :: eat/gnaw around the edge; erode (water); waste; eat, consume, devour; char;"
"#ammonefio, ammoneferi, ammonefactus sum  V SEMIDEP                                                  [DXXFS] :: be admonished/warned/urged; be called to duty; (admonefacio PASS);"
"#amo, amare, additional, forms  V                                                                    [BXXEO] :: love, like; fall in love with; be fond of; have a tendency to;"
"#anteeo, anteire, anteivi(ii), anteitus  V                                                           [XXXAO] :: go/walk before/ahead, precede, antedate; surpass; anticipate; prevent;"
"#antefero, anteferre, antetuli, antelatus  V TRANS                                                   [XXXBO] :: carry before; place before/in front of; bring in advance, anticipate; prefer;"
"#anteo, antire, antivi(ii), antitus  V                                                               [XXXAO] :: go before, go ahead, precede; surpass; anticipate; prevent; (anteeo drop e);"
"#antideo, antidire, antidivi(ii), antiditus  V                                                       [XXXCO] :: go before, go ahead, precede; surpass; anticipate; prevent; (anteeo drop e);"
"#apsum, apesse, afui, afuturus  V                                                                    [XXXAO] :: be away/absent/distant/missing; be free/removed from; be lacking; be distinct;"
"#arfacio, arfaceri, arfactus sum  V SEMIDEP                                                          [XXXDS] :: be/become dried up/withered/dry; (arefacio PASS);"
"#assuefio, assueferi, assuefactus sum  V SEMIDEP                                                     [XXXCO] :: be/become accustomed (to), be habituated; be trained; (assuefacio PASS);"
"#assum, adesse, affui, affuturus  V                                                                  [XXXAO] :: be near, be present, be in attendance, arrive, appear; aid (w/DAT);"
"#audo, audere, -  V SEMIDEP                                                                          [XXXAO] :: intend, be prepared; dare/have courage (to go/do), act boldly, venture, risk;"
"#aufero, auferre, abstuli, ablatus  V TRANS                                                          [XXXAO] :: bear/carry/take/fetch/sweep/snatch away/off, remove, withdraw; steal, obtain;"
"#aufero, auferre, apstuli, ablatus  V TRANS                                                          [XXXAO] :: bear/carry/take/fetch/sweep/snatch away/off, remove, withdraw; steal, obtain;"
