"","V1","V2"
"1","abaestuav","wave down; hang down richly (poet.);"
"2","abalienav","make alien; separate, abstract; alienate, estrange, make disaffected;"
"3","abalienav","|transfer (sale/contract); remove, take away, dispose of; numb/deaden;"
"4","abambulav","go away;"
"5","abbreviav","shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;"
"6","abdicav","resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;"
"7","abequitav","ride away;"
"8","aberrav","stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);"
"9","abitav","go away, depart;"
"10","abjectav","throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"11","abjudicav","deprive by judicial verdict; give judgment against; reject; deny an oath;"
"12","abjugav","separate (from), remove; loose from the yoke;"
"13","abjurgav","take away in settlement of a quarrel; deny/refuse reproachfully (L+S);"
"14","abjurav","repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;"
"15","ablactav","wean;"
"16","ablacuav","loosen/weed the soil at the roots (of trees);"
"17","ablacuav","loosen/weed the soil at the roots (of trees);"
"18","ablaqueav","loosen/weed the soil at the roots (of trees);"
"19","ablegav","send away/off (on a mission); banish, get rid of; remove/delete a word;"
"20","ablocav","place a contract for (work), hire; let/lease/rent (house);"
"21","abnatav","swim away from; swim off;"
"22","abnegav","deny; decline (to), refuse, reject; refuse to give, withhold (what is due);"
"23","abnoctav","spend the night out, stay away all night; spend the night away from Rome;"
"24","abnodav","cut off knots; clear trees of knots;"
"25","abnumerav","count up, reckon up;"
"26","abnutav","deny/refuse/forbid (w/shake of head) repeatedly; forbid;"
"27","abominav","avert; (seek to) avert (omen/eventuality) (by prayer); loathe, detest, abhor;"
"28","abortav","cast its young (beast) (give birth prematurely);"
"29","abrenuntiav","renounce, repudiate (strongly);"
"30","abrogav","abolish; repeal wholly, annul; remove, take away;"
"31","absentav","send away, cause one to be absent; be absent;"
"32","absonav","have harsh/discordant/unpleasant sound;"
"33","abstet","stand at a distance, stand off; keep at a distance;"
"34","abundav","abound (in), have in large measure; overdo, exceed; overflow; be rich/numerous;"
"35","accapitav","admit subservience; acknowledge feudal liability;"
"36","accelerav","speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;"
"37","acceptav","receive regularly, take (payment/food); be given (name); submit to; grasp idea;"
"38","accessitav","approach repeatedly; keep on coming;"
"39","accipitrav","tear, rend (like a hawk);"
"40","acclamav","shout (at), cry out against, protest; shout approval, applaud;"
"41","acclarav","make clear, reveal, make manifest;"
"42","acclinav","lay down, rest (on) (w/DAT), lean against/towards, incline (to);"
"43","accommodav","adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;"
"44","accomodav","adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;"
"45","accongerav","bear, bring forth;"
"46","accordav","agree with; harmonize;"
"47","accorporav","incorporate, fit/join to;"
"48","accubu","lie near or by; recline at table;"
