,V1,V2
1,abhorru,"abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;"
2,abolev,"destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"
3,abscondu,"hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
4,absorbu,"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
5,absorps,"devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"
6,absters,"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
7,absterru,"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
8,abstinu,"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
9,accensu,attach as an attendant to; add to;
10,acciv,"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
11,acuu,accentuate;
12,adaux,"increase, augment, intensify; supplement, make more; exaggerate, magnify;"
13,addocu,teach new/additional accomplishments;
14,adflev,weep/cry at; weep as an accompaniment;
15,adfuls,"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
16,adhaes,"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
17,adhes,"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
18,adhibu,"summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;"
19,adhorru,shudder (in addition);
20,adimplev,"fill up (with); fulfill, carry out (promise/obligation);"
21,adjacu,"lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;"
22,adlux,shine upon; light (torch); show/give (opportunity/chance); give/supply light;
23,admiscu,"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
24,admiscu,"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
25,admonu,"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
26,admord,"bite at/into, gnaw; extract money from; fleece; get possession of their property"
27,admov,"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
28,adolu,"worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;"
29,adparu,"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
30,adpend,to be pending;
31,adpertinu,"belong to, appertain to; (w/DAT or ad);"
32,adris,"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
33,adsed,"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
34,adtinu,"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
35,adtond,"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
36,adtors,whirl at; hurl upwards;
37,adurs,"pursue; press hard, pursue closely;"
38,afflev,weep/cry at; weep as an accompaniment;
39,affuls,"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
40,als,be/feel/become cold/chilly/cool; endure cold; be neglected/left in the cold;
41,allux,shine upon; light (torch); show/give (opportunity/chance); give/supply light;
42,ammiscu,"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
43,ammonu,"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
44,ammord,"bite at/into, gnaw; extract money from; fleece; get possession of his property;"
45,ammov,"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
46,amov,"move/take/put away, remove, steal; banish, cause to go away; withdraw, retire;"
47,antehabu,have previously; prefer;
48,apparu,"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
49,append,to be pending;
50,appertinu,"belong to, appertain to; (w/DAT or ad);"
51,apsorbu,"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
52,apsorps,"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
53,apsters,"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
54,apsterru,"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
55,apstinu,"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
56,arcu,"ward/keep off/away; keep close, confine; prevent, hinder; protect; separate;"
57,ars,"be on fire; burn, blaze; flash; glow, sparkle; rage; be in a turmoil/love;"
58,aru,"be dry/parched; be thirsty; be withered (plants/animals, from lack of water);"
59,arris,"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
60,assed,"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
61,attinu,"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
62,attond,"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
63,aucu,observe attentively;
65,aux,"increase, enlarge, augment; spread; honor, promote, raise; exalt; make a lot of;"
66,beneplacu,please; be pleasing to;
67,calu,be/feel/be kept warm; be hot with passion/inflamed/active/driven hotly/urged;
68,callu,"be calloused/hardened; grow hard; be experienced/skilled, understand; know how;"
69,candu,"be of brilliant whiteness, shine, gleam (white); become/be hot; glow, sparkle;"
70,canu,"be/become covered in white; be hoary, be white/gray (with age);"
71,caru,"be without/absent from/devoid of/free from; miss; abstain from, lack, lose;"
72,cav,"beware, avoid, take precautions/defensive action; give/get surety; stipulate;"
73,censu,"think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
74,censu,"think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
75,cev,"move haunches in a lewd or effeminate manner, practice such behavior; fawn;"
76,civ,"move, set in motion; excite/rouse/stir up; urge on; summon/muster/call up;"
77,civ,"|disturb, shake; provoke (war); invoke, call on by name; cite; raise/produce;"
78,circumdolu,suffer on every side;
79,circumfuls,shine/glow round about;
80,circumjacu,"lie near/round about, border on; (of persons, places, objects);"
81,circumlux,"shine round, illuminate;"
82,circummuls,"lick round, caress (with tongue);"
83,circumpend,"hang around, be suspended all around;"
84,circumsed,"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
85,circumsid,"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
86,circumstupu,"hang sluggishly round; look around with amazement, stand around amazed (L+S);"
87,circumtenu,posses; keep/hold around;
88,circumters,wipe/rub round about/all around;
89,circumtotond,cut/shear/clip all around (hair);
90,circumtos,pull/twist/turn/wind/bend/spin round;
91,claus,"limp, stumble/falter/hesitate; be weak/imperfect, fall short; be lame, hobble;"
92,coercu,"enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
93,cohaes,"stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
94,cohaes,|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;
95,cohercu,"enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
96,cohes,"stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
97,cohes,|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;
98,cohibu,"hold together, contain; hold back, restrain, curb, hinder; confine; repress;"
99,coincidu,coincide;
100,collux,"shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;"
101,collux,lament; grieve together;
102,commadu,become tender or sodden; become very soft (L+S);
103,commans,remain somewhere constantly;
104,commeru,"merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
105,commiscu,"intermingle, mix together/up, combine (ingredients); unite/join sexually;"
106,commiscu,"|mingle (with another race); transact business (w/cum), discuss; confuse;"
107,commonu,"remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
108,commord,bite/snap at; (literally/figuratively); (sharply/eagerly L+S);
109,commov,"shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
110,commov,"|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
111,commuls,"caress, coax; soothe, please (much); cajole;"
112,comparu,appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;
113,complacu,"please, take fancy of, capture affections of, be acceptable/agreed to;"
114,complev,"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
115,complev,"|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
116,concalu,be/become warm; (thoroughly);
117,concubu,lie with (sexual and not); have sexual intercourse with;
118,condocu,"teach, instruct; train, exercise (L+S);"
119,condolu,feel severe pain; suffer greatly/with another; feel another's pain; empathize;
121,confloru,bloom/flourish together;
122,confov,"care for, tend; warm (L+S); foster; cherish assiduously;"
123,confuls,"shine, gleam; be resplendent; shine brightly, glitter, glisten (L+S);"
124,congavis,rejoice with one/together;
125,coniv,"close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;"
126,conix,|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;
127,conjacu,lie together;
128,conlux,"shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;"
129,conlux,lament; grieve together;
130,conmeru,"merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
131,conmonu,"remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
132,conmov,"shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
133,conmov,"|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
134,conniv,"close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;"
135,connix,|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;
136,conparu,appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;
137,conplacu,"please, take the fancy of, capture the affections of, be acceptable/agreed to;"
138,conplev,"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
139,conplev,"|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
140,conris,laugh together; laugh out loud (L+S);
141,conspond,exchange pledges; engage/promise mutually (L+S);
142,constupu,be very much astonished;
143,consuas,"advocate, recommend/advise strongly; try to persuade (w/DAT);"
144,consuev,"accustom; become accustomed; be accustomed, inure, habituate. familiarize;"
