"","V1","V2"
"1","abdix","be against, reject; withhold (someone's right); forbid by unfavorable omen;"
"2","abdid","remove, put away, set aside; depart, go away; hide, keep secret, conceal;"
"3","abdux","lead away, carry off; detach, attract away, entice, seduce, charm; withdraw;"
"4","abflux","flow/stream/issue (from); flow away; be abundant, abound (in w/ABL);"
"5","abfug","flee (from), shun; run/fly away, escape; disappear/vanish (things);"
"6","abhorru","dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;"
"7","abjec","throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"8","abeg","drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"
"9","abeg","|remove/cure (disease); drive away (an evil); force birth; procure abortion;"
"10","abig","drive/send away/off; expel, repel; steal, plunder (cattle), rustle; seduce;"
"11","abig","|remove/cure (disease); drive away (an evil); force birth; procure abortion;"
"12","abjec","throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;"
"13","abjunx","unyoke, remove, separate; unharness; remove part, split; cut off from, detach;"
"14","ablu","wash away/off/out, blot out, purify, wash, cleanse; dispel (infection); quench;"
"15","abnu","refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"
"16","abolefec","destroy;"
"17","abolev","decay gradually, shrivel, wilt; vanish, disappear; die out; fall into disuse;"
"18","abras","scratch/scrape/rub/wipe (off), shave; erase; wash/erode away; ""knock off"", rob;"
"19","abripu","drag/snatch/carry/remove away by force; wash/blow away (storm); abduct, kidnap;"
"20","abros","gnaw off/away;"
"21","abrup","break (bonds); break off; tear asunder; cut through, sever; remove, separate;"
"22","abscess","withdraw, depart, retire; go/pass off/away; desist; recede (coasts); slough;"
"23","abscid","hew/cut off/away/out; fell/cut down; remove, separate/cut off/destroy, divide;"
"24","abscid","|take away violently; expel/banish; destroy (hope); amputate; prune; cut short;"
"25","abscid","tear (away/off) (clothing); cut off/away/short; part, break, divide, separate;"
"26","abscond","hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
"27","abscondid","hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
"28","absistit","withdraw from; desist, cease; leave off; depart, go away from; stand back;"
"29","absolv","free (bonds), release; acquit; vote for/secure acquittal; pay off; sum up;"
"30","absters","wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"31","abstrax","drag away from, remove forcibly, abort; carry off to execution; split;"
"32","abstrus","thrust away, conceal, hide; suppress/prevent (emotion) becoming apparent;"
"33","absumps","spend, waste, squander, use up; take up (time); consume; exhaust, wear out;"
"34","abvert","turn away from/aside, divert, rout; disturb; withdraw; steal, misappropriate;"
"35","access","come near, approach; agree with; be added to (w/ad or in + ACC); constitute;"
"36","accend","kindle, set on fire, light; illuminate; inflame, stir up, arouse; make bright;"
"37","accers","send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"38","accersiv","send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"39","accid","fall upon/down/to/at or near, descend, alight; happen, occur; happen to (DAT);"
"40","accid","cut, cut into/down/up, hack, hew, fell; overthrow, destroy; cut short; weaken;"
"41","accidi","happens, turns out, befalls; fall upon; come to pass, occur;"
"42","accinx","gird on or about, surround; equip, provide (with); get ready, prepare (for);"
"43","accep","take, grasp, receive, accept, undertake; admit, let in, hear, learn; obey;"
"44","acclus","close up, shut the door;"
"45","accolu","dwell/live near; be a neighbor to;"
"46","accredid","give credence to, believe; put faith in, trust;"
"47","accrev","increase/swell, grow larger/up/progressively; be added/annexed to; arise;"
"48","accumbu","take a place/recline at the table; lie on (bed), lie at/prone, lie beside;"
"49","accucurr","run/hasten to (help); come/rush up (inanim subj.); charge, rush to attack;"
"50","accurr","run/hasten to (help); come/rush up (inanim subj.); charge, rush to attack;"
"51","acu","turn/become sour;"
