"","V1","V2"
"1","abligurriv","eat up (dainties); consume in dainty living; waste, squander; waste in feasting;"
"2","acciv","send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"3","adaperiv","throw open, open wide; unroll (scroll), open (book); uncover, reveal; open up;"
"4","addormiv","fall asleep, go to sleep; begin to sleep;"
"5","adessuriv","be very hungry/starving;"
"6","adesuriv","be very hungry/starving;"
"7","adhinniv","whinny to/at; express delight; strive after/long for with voluptuous desire;"
"8","adinven","devise/invent/find out (in addition/intensive);"
"9","admoeniv","bring (siege engine) into operation, draw near the walls; besiege, invest;"
"10","adoperu","cover, cover over;"
"11","adsens","assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"12","adserviv","devote/apply oneself to (w/DAT); aid, help, assist;"
"13","adsilu","jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"14","adven","come to, arrive; arrive at, reach, be brought; develop, set in, arise;"
"15","amaturiv","wish to love;"
"16","ambiv","go round, visit in rotation, inspect; solicit, canvass; circle, embrace;"
"17","amicu","clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"18","amix","clothe, cover, dress; wrap about; surround; veil; clothe with words;"
"19","ammoeniv","bring (siege engine) into operation, draw near the walls; besiege, invest;"
"20","antemoeniv","provide with a front/protecting wall, provide with a rampart;"
"21","anteven","come/go/arrive/act before, get in front of; anticipate, forestall; surpass;"
"22","aperu","uncover, open, disclose; explain, recount; reveal; found; excavate; spread out;"
"23","arcersiv","send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"24","arcessiv","send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"25","artiv","insert tightly, wedge; be a tight fit, crowd;"
"26","assens","assent, approve, agree in opinion; admit the truth of (w/DAT), agree (with);"
"27","asserviv","devote/apply oneself to (w/DAT); aid, help, assist;"
"28","assilu","jump/leap (up/on/towards), rush/dash (at/against), assault; mount (male-female);"
"29","attachiv","attach; fasten;"
"30","audiv","hear, listen, accept, agree with; obey; harken, pay attention; be able to hear;"
"31","barbiv","raise/grow a beard;"
"32","bipartiv","divide in two parts; bisect; divide;"
"33","bipertiv","divide in two parts; bisect; divide;"
"34","blandiv","flatter, delude; fawn; coax, urge, behave/speak ingratiatingly; allure; please;"
"35","bombiv","buzz, hum;"
"36","borriv","swarm;"
"37","bulliv","bubble, boil; make bubbles; boil (with indignation);"
"38","burriv","swarm;"
"39","cacaturiv","have urge to defecate; (rude);"
"40","calviv","deceive, intrigue/use subterfuge/tricks against; be tricked/deceived (PASS);"
"41","camps","exchange, barter;"
"42","canturiv","recite with musical intonation; sing continuously (birds); chirp;"
"43","circumfars","pack/stuff/cram round (with);"
"44","circumfiniv","complete a circle; bring to an end;"
"45","circumfuls","support/hold up around;"
"46","circummoeniv","invest with walls/siege works; wall/hem in, secure; fence around; fortify;"
"47","circummugiv","moo/low/bellow round;"
"48","circummuniv","invest with walls/siege works; wall/hem in, secure; fence around; fortify;"
"49","circumpaviv","beat down hard all around;"
"50","circumretiv","encircle with a net; ensnare;"
"51","circumtinniv","clash/ring/tinkle round about/all around;"
"52","circumven","encircle, surround; assail, beset; enclose; circumvent; defraud/trick; surpass;"
"53","circumvestiv","clothe, cover over, surround with a covering; wrap up (in words); cloak;"
"54","circumvinx","bind/fasten round;"
"55","coaudiv","confine to narrow space, cramp; make narrower; narrow/limit scope/application;"
"56","comaudiv","confine to narrow space, cramp; make narrower; narrow/limit scope/application;"
"57","combulliv","boil fully/thoroughly;"
"58","commoeniv","strongly fortify, entrench; strengthen, secure, reinforce;"
"59","communiv","fortify strongly, entrench, barricade; strengthen, secure, reinforce;"
"60","comparturiv","be associated in childbirth with any one;"
"61","compediv","shackle, fetter; put fetters on;"
"62","comper","learn/discover/find (by investigation); verify/know for certain; find guilty;"
"63","compotiv","put in possession of, make partaker of; (PASS) attain; obtain, come into (L+S);"
"64","conbulliv","boil fully/thoroughly;"
"65","conciv","move, set in violent motion, stir up; muster; rouse, excite, incite, provoke;"
"66","concustodiv","watch over/carefully, guard, protect;"
"67","condiv","preserve/pickle; embalm/mummify; spice; season/flavor/render pleasant/give zest;"
"68","condormiv","sleep soundly; be fast asleep;"
"69","confers","stuff/cram/pack/press (close) together; fill densely; raise a shout in unison;"
"70","conforiv","defile/pollute with ordure/diarrhea; (rude);"
"71","confuls","press together;"
"72","congarriv","prattle;"
"73","conpediv","shackle, fetter; put fetters on;"
"74","conper","learn/discover/find (by investigation); verify/know for certain; find guilty;"
"75","conpotiv","put in possession of, make partaker of; (PASS) attain; obtain, come into (L+S);"
"76","consaeps","surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"77","consariv","hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"78","consaru","hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"79","consaru","hoe thoroughly/to pieces; rake (L+S);"
"80","consarriv","hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"81","consarru","hoe thoroughly/to pieces; hoe; weed (crops); dig over (land); rake (L+S);"
"82","consciv","feel guilty; be conscious of (wrong); have on conscience; know well (late);"
"83","consens","join/share in sensation/feeling; be in agreement/harmony; be of the same mind;"
"84","consens","|act together; plot, conspire, combine; coincide; be in conjunction (planets);"
"85","consens","||agree, consent; fit/be consistent/in sympathy/unison with; favor; assent to;"
"86","consepliv","bury with;"
"87","conseps","surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"88","consips","surround with a wall/fence/hedge; enclose, fence; fence/hedge in;"
"89","consopiv","lull/put to sleep, make unconscious; stupefy, benumb; make obsolete;"
"90","constabiliv","establish; put on a firm basis; strengthen; confirm, make firm (L+S);"
"91","contraven","oppose;"
"92","conven","be appropriate to, fit, be correctly shaped/consistent; harmonize, agree, tally;"
"93","conven","|meet/assemble; go to meet; come together; (have sex); converge; visit/approach;"
"94","conven","||resort to; sue, prosecute, take legal action; be agreed upon/arranged (PASS);"
"95","conveni","it agrees/came together/is agreed/asserted; [bene ~ nobis=>we're on good terms];"
"96","convestiv","clothe, dress; cover; cover with clothing (L+S); surround;"
"97","cooperu","cover wholly/completely, cover up; overwhelm, bury deep; [lapidibus ~ => stone];"
"98","coperu","cover wholly/completely, cover up; overwhelm, bury deep; [lapidibus ~ => stone];"
"99","cosens","join/share in sensation/feeling; be in agreement/harmony; be of the same mind;"
"100","cosens","|act together; plot, conspire, combine; coincide; be in conjunction (planets);"
"101","cosens","||agree, consent; fit/be consistent/in sympathy/unison with; favor; assent to;"
"102","crativ","bush-harrow;"
"103","custodiv","guard/protect/preserve, watch over, keep safe; take heed/care, observe; restrain"
"104","definiv","define/bound/fix/limit/mark; restrict/confine; assign, ordain; lay down (rule);"
