abaestu	wave down; hang down richly (poet.);
abalien	make alien; separate, abstract; alienate, estrange, make disaffected;
abalien	|transfer (sale/contract); remove, take away, dispose of; numb/deaden;
abambul	go away;
abbatiz	be abbot;
abbrevi	shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;
abdic	resign, abdicate; abolish; disinherit; renounce, reject, expel, disapprove of;
abequit	ride away;
aberr	stray, wander, deviate; go/be/do wrong; be unfaithful; escape; disagree (with);
abit	go away, depart;
abject	throw/cast away/down/aside; abandon; slight; humble; debase; sell too cheaply;
abjudic	deprive by judicial verdict; give judgment against; reject; deny an oath;
abjug	separate (from), remove; loose from the yoke;
abjurg	take away in settlement of a quarrel; deny/refuse reproachfully (L+S);
abjur	repudiate (obligation or duty); deny on oath (falsely); abjure; perjure;
ablact	wean;
ablacu	loosen/weed the soil at the roots (of trees);
ablacu	loosen/weed the soil at the roots (of trees);
ablaque	loosen/weed the soil at the roots (of trees);
ableg	send away/off (on a mission); banish, get rid of; remove/delete a word;
abloc	place a contract for (work), hire; let/lease/rent (house);
abnat	swim away from; swim off;
abneg	deny; decline (to), refuse, reject; refuse to give, withhold (what is due);
abnoct	spend the night out, stay away all night; spend the night away from Rome;
abnod	cut off knots; clear trees of knots;
abnumer	count up, reckon up;
abnut	deny/refuse/forbid (w/shake of head) repeatedly; forbid;
abort	cast its young (beast) (give birth prematurely);
abrenunti	renounce, repudiate (strongly);
abrog	abolish; repeal wholly, annul; remove, take away;
absent	send away, cause one to be absent; be absent;
abson	have harsh/discordant/unpleasant sound;
abst	stand at a distance, stand off; keep at a distance;
abund	abound (in), have in large measure; overdo, exceed; overflow; be rich/numerous;
accapit	admit subservience; acknowledge feudal liability;
acceler	speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;
accept	receive regularly, take (payment/food); be given (name); submit to; grasp idea;
accessit	approach repeatedly; keep on coming;
accipitr	tear, rend (like a hawk);
acclam	shout (at), cry out against, protest; shout approval, applaud;
acclar	make clear, reveal, make manifest;
acclin	lay down, rest (on) (w/DAT), lean against/towards, incline (to);
accommod	adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;
accomod	adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;
acconger	bear, bring forth;
accord	agree with; harmonize;
accorpor	incorporate, fit/join to;
accub	lie near or by; recline at table;
accumul	accumulate, heap/pile up/soil; add by exaggeration; add, increase, enhance;
accur	take care of, attend to (duties/guests), give attention to; perform with care;
accusit	accuse repeatedly; go on accusing;
accus	accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense);
accuss	accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense);
acerb	embitter; aggravate; make disagreeable; make worse;
acerv	heap/pile up; make into heaps/piles; massed/categorized together; cover with;
acetasc	become sour/vinegary;
acontiz	shoot a dart; spout/gush forth (blood);
actit	act/plead frequently/repeatedly; take parts in play as actor, be actor in;
actu	implement; actuate;
acumin	sharpen, make pointed, cut to a point;
adaequ	equalize, make equal in height, come up to level; compare (to); be equal; raze;
adaer	calculate the area of a piece of land, appraise, value (in money), estimate;
adaestu	rush, roar, boil up;
adagger	heap (earth, etc.) up around/over; seethe, foam up;
adallig	bind/fasten to, attach;
adambul	walk beside/near;
adam	fall in love/lust with; love passionately/adulterously; admire greatly; covet;
adampli	enlarge, increase, widen; embellish;
adapt	adjust, modify; fit (to) (w/DAT);
adar	plow carefully;
adauct	increase, add to the resources of;
adbell	make war upon;
adblater	prattle, chatter;
adbrevi	shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;
adceler	speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;
adclam	shout (at), cry out against, protest; shout approval, applaud;
adclar	make clear, reveal, make manifest;
adclin	lay down, rest (on) (w/DAT), lean against/towards, incline (to);
adcommod	adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;
adcumul	accumulate, heap/pile up/soil; add by exaggeration; add, increase, enhance;
adcur	take care of, attend to (duties/guests), give attention to; perform with care;
addecim	take the tenth part/a tenth; tithe;
addens	thicken, make more dense;
addivin	prognosticate, divine;
addubit	doubt, be doubtful/uncertain; hesitate (to), hesitate over a situation;
adequit	ride up to/towards/near, gallop up;
aderr	stray towards/near; wander to/by;
adesc	feed; fatten;
adfigur	form (word) by analogy;
adfirm	affirm/assert (dogmatically/positively); confirm, ratify, restore; emphasize;
adflect	affect, move, influence (to a course of action);
adflict	shatter, damage, strike repeatedly, buffet, wreck; oppress, afflict; vex;
adfl	blow/breathe (on/towards); inspire, infuse; waft; graze; breathe poison on;
adformid	be afraid, fear;
adfric	rub (one thing against another); apply/communicate/impart by rubbing, smear on;
adfric	rub (one thing against another); apply/communicate/impart by rubbing, smear on;
adfri	sprinkle (powder); crumble, grate;
adgener	beget in addition;
adger	heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;
adglomer	gather into a body, mass together, join forces; pile up in masses; agglomerate;
adglutin	glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;
adgrav	aggravate, exaggerate; weigh down, oppress; make heavier; embarrass further;
adgreg	collect, include, group, implicate; (cause to) flock/join together, attach;
adgubern	steer (one's course);
adhal	breathe upon;
adham	catch, secure;
adhospit	entertain as guest; propitiate;
adinfl	swell up;
adinspect	watch; guard (person);
adit	approach often/frequently/habitually;
adjudic	adjudge, impute, attribute, ascribe (to); award (as a judge), assign (to);
adjug	join, attach (to);
adjur	swear by/solemnly; affirm with oath; charge/entreat/urge (as under oath/curse);
adjuv	help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;
adjuv	help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;
adlabor	make a special effort; take trouble to;
adlacrim	shed tears, cry, weep (at or as an accompaniment to something);
adlatr	bark at; rail at; rage, roar (sea);
adlaud	praise, commend;
adlav	flow up to (water), wash;
adlect	entice, allure, encourage, invite;
adleg	depute/send as agent, commission, put up; suborn; urge/plea, lay before; allege;
adlevi	lighten, make light; deal lightly/leniently with; raise up, relieve;
adlev	lift/raise/heap/pile up, exalt; alleviate/diminish/weaken; comfort/console/cheer
adlev	|smooth, smooth off, make smooth; polish; depilate;
adlig	bind/fetter (to); bandage; hinder, impede, detain; accuse; implicate/involve in;
adludi	play/frolic (with);
admatur	hasten (an occurrence); bring to maturity, mature, ripen;
adme	go to, approach;
admigr	go and live with; go to a place; come to; be added to;
administr	administer, manage, direct; assist; operate, conduct; maneuver (ship); bestow;
admulc	stroke;
admutil	cut/clip close; shave; fleece, cheat, defraud;
adnarr	tell/relate (to);
adnat	swim to/up to; swim beside/alongside;
adnavig	sail to/up to/towards; sail beside/alongside;
adneg	refuse; withhold;
adnict	wink to/at; blink at;
adnihil	annihilate, destroy, demolish, ruin, bring to nothing;
adnilil	annihilate, bring to nothing;
adn	swim to/towards, approach by swimming; sail to/towards; brought by sea (goods);
adnod	cut (shoot) right back, cut flush; cut off knots, cut away suckers;
adnot	note/jot down, notice, become aware; mark, annotate; record, state; designate;
adnubil	bring up clouds (against);
adnull	annihilate, obliterate, destroy; annul (eccl.);
adnumer	count (in/out), pay; reckon (time); enumerate, run through; classify as; add;
adnunti	announce, say, make known; report, bring news; prophesy/announce before; preach;
adnut	nod (to); order/assent to by a nod; bow to;
adopt	adopt, select, secure, pick out; wish/name for oneself; adopt legally;
adordin	set in order, arrange;
adorn	equip, get ready, prepare; set off; adorn, array, embellish; honor, endow;
ador	honor, adore, worship, pay homage, reverence; beg, plead with, appeal to;
adpar	prepare, fit out, make ready, equip, provide; attempt; organize (project);
adpector	press/clasp to the breast;
adpellit	call or name (frequently or habitually);
adpell	call (upon); address; dun; solicit; appeal (to); bring to court; accuse; name;
adplic	connect, place near, bring into contact; land (ship); adapt; apply/devote to;
adplic	connect, place near, bring into contact; land (ship); adapt; apply/devote to;
adplor	lament, weep at/on account of; deplore (thing);
adplumb	solder, solder on, affix by soldering, close/seal by soldering/with solder;
adport	carry/convey/bring (to); import; present (play); bring (news); make one's way;
adpostul	beg/entreaty/solicit importunately/persistently/troublesomely/pressingly;
adprens	snatch at;
adpreti	value, set/estimate a price, appraise; purchase, buy; appropriate to one's self;
adprob	approve, commend, endorse; prove; confirm; justify; allow; make good;
adpron	lean forwards;
adproper	hasten, hurry, come hastily, make haste; accelerate, speed up;
adpropinqu	approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;
adpropi	approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;
adpropri	appropriate, make one's own;
adproxim	be/draw/come close/near to, approach;
adpugn	attack, assault;
adquiet	discharge (a debt);
adremig	row up to/towards;
adrig	water (plants), moisten the soil around;
adrog	ask, question; arrogate to one's self, claim, make undue claim; confer (upon);
adrog	|adopt (an adult) as one's son (esp. at his instance);
adror	moisten, bedew;
adserv	keep, guard, preserve; watch, observe; keep in custody; save life of, rescue;
adsever	act earnestly; assert strongly/emphatically, declare; profess; be serious;
adsibil	hiss out (breath) upon (w/DAT);
adsicc	dry, dry out, dry up, make dry;
adsidu	apply constantly; make constant use of (Souter); use regularly/incessantly;
adsignific	show (w/ACC + INF), make evident; mean/denote (words);
adsign	assign, distribute, allot; award, bestow (rank/honors); impute; affix seal;
adsimil	make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;
adsimul	make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;
adsoci	join (to), associate (with);
adsol	level to the ground, destroy;
adson	respond, reply; sound in accompaniment; sing as an accompaniment;
adspect	look/gaze at/upon; observe, watch; pay heed; face/look towards (place/person);
adspir	breathe/blow (upon); aspirate; instill, infuse; be fragrant; influence; aspire;
adst	stand at/on/by/near; assist; stand up/upright/waiting/still/on one's feet;
adst	stand at/on/by/near; assist; stand up/upright/waiting/still/on one's feet;
adstrangul	strangle;
adsult	jump/leap at/towards/upon; dash against; attack, assault, make an attack (on);
adsuspir	sigh in response (to) (w/DAT);
adtemper	fit, adjust;
adtempt	attack, assail; call into question; try to seduce/use; make an attempt on, try;
adtent	attack, assail; call into question; try to seduce/use; make an attempt on, try;
adtenu	thin (out); weaken, lessen, diminish, shrink, reduce in size; make plain;
adtermin	set bounds to, measure, limit;
adtill	tickle, please;
adtitul	name, entitle;
adtoler	support, sustain, bear;
adton	strike with lightning, blast; drive crazy, distract;
adtract	touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;
adtrect	touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;
adtrepid	bestir oneself;
adtribul	thresh, press hard;
adtumul	heap up against; bank up (with something);
adulter	commit adultery, defile (w/adultery); falsify, counterfeit, debase, corrupt;
adumbr	sketch out, silhouette, outline, represent; shade, screen, obscure; feign;
adun	unite, make one;
advect	import, bring (merchandise/goods) from abroad;
advel	cover, veil;
advent	approach, come to, draw near; arrive, turn up; come in (tide); approximate;
adverber	beat upon; strike against;
advigil	watch by/over; take care; be on watch, be vigilant;
advoc	call, summon, invite, convoke, call for; call in as counsel; invoke the Gods;
advol	fly to, dash to (w/DAT or ad + ACC), hasten towards;
aedific	build, erect, construct, make; create; establish; improve; edify;
aeditu	act as sacristan, be in charge/take care of temple;
aegrot	be sick; be distressed/mentally/morally ill, be afflicted, languish, grieve;
aequidist	be at equal distance;
aequilibr	keep in a state of equilibrium/balance;
aequipar	become/put on a equal/level with/to, rival, equal; equalize; compare, liken;
aequiper	become/put on a equal/level with/to, rival, equal; equalize; compare, liken;
aequ	level, make even/straight; equal; compare; reach as high or deep as;
aerugin	rust, become rusty; become cankered;
aerusc	beg; go begging; get money traveling and practicing juggling/legerdemain (L+S);
aestim	value, assess; estimate; reckon; consider, judge (situation); esteem;
aestiv	spend/pass the summer;
aestum	value, assess; estimate; reckon; consider, judge (situation); esteem;
aestu	boil, seethe, foam; billow roll in waves; be agitated/hot; burn; waver;
aetern	immortalize; confer undying fame on;
affigur	form (word) by analogy;
affirm	affirm/assert (dogmatically/positively); confirm, ratify, restore; emphasize;
afflect	affect, move, influence (to a course of action);
afflict	shatter, damage, strike repeatedly, buffet, wreck; oppress, afflict; vex;
affl	blow/breathe (on/towards); inspire, infuse; waft; graze; breathe poison on;
afformid	be afraid, fear;
affric	rub (one thing against another); apply/communicate/impart by rubbing, smear on;
affric	rub (one thing against another); apply/communicate/impart by rubbing, smear on;
affri	sprinkle (powder); crumble, grate;
aget	stir/drive/shake/move about; revolve; live; control, ride; consider, pursue;
aggener	beget in addition;
agger	heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;
agglomer	gather into a body, mass together, join forces; pile up in masses; agglomerate;
agglutin	glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;
